AnnualbyProvince (6)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºConsumer Price Indices (preceding year=100), Health Care;;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;99.8;104.9;108.4;103.0;107.4;102.6;;;;;;;;;;;;;;
Tianjin;100.0;99.9;100.9;102.6;115.4;108.8;;;;;;;;;;;;;;
Hebei;100.3;102.1;104.4;107.4;106.9;104.4;;;;;;;;;;;;;;
Shanxi;99.5;109.4;101.8;103.6;107.5;102.4;;;;;;;;;;;;;;
Inner Mongolia;100.3;103.6;101.7;102.7;110.0;104.4;;;;;;;;;;;;;;
Liaoning;99.8;103.4;101.6;111.1;107.5;102.5;;;;;;;;;;;;;;
Jilin;100.0;101.8;101.7;105.3;110.9;106.1;;;;;;;;;;;;;;
Heilongjiang;101.1;102.5;102.0;108.6;110.4;103.7;;;;;;;;;;;;;;
Shanghai;98.9;101.2;103.3;102.4;106.6;109.0;;;;;;;;;;;;;;
Jiangsu;101.0;100.1;101.0;101.2;101.5;109.1;;;;;;;;;;;;;;
Zhejiang;100.8;101.5;104.8;102.6;102.3;101.3;;;;;;;;;;;;;;
Anhui;100.5;101.2;101.5;102.8;103.9;103.6;;;;;;;;;;;;;;
Fujian;100.0;100.2;101.4;102.1;103.0;102.9;;;;;;;;;;;;;;
Jiangxi;99.9;99.9;101.0;108.3;109.0;102.7;;;;;;;;;;;;;;
Shandong;100.1;101.5;102.0;103.0;105.4;104.9;;;;;;;;;;;;;;
Henan;100.4;103.4;101.9;106.1;106.3;102.8;;;;;;;;;;;;;;
Hubei;100.1;102.2;101.8;103.5;110.6;101.9;;;;;;;;;;;;;;
Hunan;100.7;101.0;101.4;102.5;105.0;103.1;;;;;;;;;;;;;;
Guangdong;100.2;100.8;103.9;104.5;106.2;102.8;;;;;;;;;;;;;;
Guangxi;102.4;105.5;101.8;104.5;106.1;103.7;;;;;;;;;;;;;;
Hainan;99.4;100.3;101.5;103.6;111.1;104.4;;;;;;;;;;;;;;
Chongqing;99.6;101.9;100.7;105.7;104.2;101.8;;;;;;;;;;;;;;
Sichuan;101.9;100.7;102.8;102.8;104.2;101.6;;;;;;;;;;;;;;
Guizhou;100.4;100.8;102.9;102.0;101.8;101.5;;;;;;;;;;;;;;
Yunnan;100.1;100.6;102.0;104.1;104.3;102.4;;;;;;;;;;;;;;
Tibet;100.8;102.2;103.0;102.1;102.7;102.1;;;;;;;;;;;;;;
Shaanxi;99.3;100.9;101.4;104.0;108.6;102.4;;;;;;;;;;;;;;
Gansu;100.2;100.6;102.0;108.0;105.2;100.8;;;;;;;;;;;;;;
Qinghai;102.2;104.2;102.1;103.4;105.9;102.6;;;;;;;;;;;;;;
Ningxia;101.7;100.6;104.0;101.9;104.8;102.9;;;;;;;;;;;;;;
Xinjiang;100.2;100.4;101.1;112.5;109.6;102.7;;;;;;;;;;;;;;
Note:Note: Since 2001, in accordance with the requirements of the statistical system, the base period of China''s CPI was rotated every five years. Beginning in January 2016, 2015 was used as a base period in the new round of rotation, and the base periods in the previous three rounds were 2000, 2005 and 2010. Compared with the base period in the last round, the survey directory and specifications of the new base period were closer to international standards, and a number of new products and services were included, which could further reflect changes in consumption and economic structure. At the same time, the weight numbers of CPI composition were adjusted accordingly, according to the latest results of the survey on residents income and expenditure. The survey directory of the new base period was revised following the Classification of Individual Consumption According to Purpose (COICOP) developed by the United Nations and the Classification of Household Consumption Expenditure (2013) enacted by the NBS. According to estimation, the current rotation of the base period had almost no influence on the month-on-month data of CPI, and a little influence on the year-on-year data, which was about 0.08 percentage points.;;;;;;;;;;;;;;;;;;;;
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;
