Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;43.8;43.8;43.8;43.8;43.8;43.8;43.8;43.8;35.8;35.8;35.8;35.8;35.8;31.7;31.7;31.7;31.7;31.7;;
Tianjin;12.1;12.1;12.1;12.1;12.1;12.1;12.1;12.1;9.9;9.9;9.9;9.9;9.9;8.2;8.2;8.2;8.2;8.2;;
Hebei;26.8;26.8;26.8;26.8;26.8;26.8;26.8;26.8;23.4;23.4;23.4;23.4;23.4;22.3;22.3;22.3;22.3;22.3;;
Shanxi;20.5;20.5;20.5;20.5;20.5;20.5;20.5;20.5;18.0;18.0;18.0;18.0;18.0;14.1;14.1;14.1;14.1;14.1;;
Inner Mongolia;22.1;22.1;22.1;22.1;22.1;22.1;22.1;22.1;21.0;21.0;21.0;21.0;21.0;20.0;20.0;20.0;20.0;20.0;;
Liaoning;39.2;39.2;39.2;39.2;39.2;39.2;39.2;39.2;38.2;38.2;38.2;38.2;38.2;35.1;35.1;35.1;35.1;35.1;;
Jilin;41.5;41.5;41.5;41.5;41.5;41.5;41.5;41.5;40.4;40.4;40.4;40.4;40.4;38.9;38.9;38.9;38.9;38.9;;
Heilongjiang;43.8;43.8;43.8;43.8;43.8;43.8;43.8;43.8;43.2;43.2;43.2;43.2;43.2;42.4;42.4;42.4;42.4;42.4;;
Shanghai;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;10.7;10.7;10.7;10.7;10.7;9.4;9.4;9.4;9.4;9.4;;
Jiangsu;15.2;15.2;15.2;15.2;15.2;15.2;15.2;15.2;15.8;15.8;15.8;15.8;15.8;10.5;10.5;10.5;10.5;10.5;;
Zhejiang;59.4;59.4;59.4;59.4;59.4;59.4;59.4;59.4;59.1;59.1;59.1;59.1;59.1;57.4;57.4;57.4;57.4;57.4;;
Anhui;28.7;28.7;28.7;28.7;28.7;28.7;28.7;28.7;27.5;27.5;27.5;27.5;27.5;26.1;26.1;26.1;26.1;26.1;;
Fujian;66.8;66.8;66.8;66.8;66.8;66.8;66.8;66.8;66.0;66.0;66.0;66.0;66.0;63.1;63.1;63.1;63.1;63.1;;
Jiangxi;61.2;61.2;61.2;61.2;61.2;61.2;61.2;61.2;60.0;60.0;60.0;60.0;60.0;58.3;58.3;58.3;58.3;58.3;;
Shandong;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;16.7;16.7;16.7;16.7;16.7;16.7;16.7;16.7;16.7;16.7;;
Henan;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.1;21.5;21.5;21.5;21.5;21.5;20.2;20.2;20.2;20.2;20.2;;
Hubei;39.6;39.6;39.6;39.6;39.6;39.6;39.6;39.6;38.4;38.4;38.4;38.4;38.4;31.1;31.1;31.1;31.1;31.1;;
Hunan;49.7;49.7;49.7;49.7;49.7;49.7;49.7;49.7;47.8;47.8;47.8;47.8;47.8;44.8;44.8;44.8;44.8;44.8;;
Guangdong;53.5;53.5;53.5;53.5;53.5;53.5;53.5;53.5;51.3;51.3;51.3;51.3;51.3;49.4;49.4;49.4;49.4;49.4;;
Guangxi;60.2;60.2;60.2;60.2;60.2;60.2;60.2;60.2;56.5;56.5;56.5;56.5;56.5;52.7;52.7;52.7;52.7;52.7;;
Hainan;57.4;57.4;57.4;57.4;57.4;57.4;57.4;57.4;55.4;55.4;55.4;55.4;55.4;52.0;52.0;52.0;52.0;52.0;;
Chongqing;43.1;43.1;43.1;43.1;43.1;43.1;43.1;43.1;38.4;38.4;38.4;38.4;38.4;34.9;34.9;34.9;34.9;34.9;;
Sichuan;38.0;38.0;38.0;38.0;38.0;38.0;38.0;38.0;35.2;35.2;35.2;35.2;35.2;34.3;34.3;34.3;34.3;34.3;;
Guizhou;43.8;43.8;43.8;43.8;43.8;43.8;43.8;43.8;37.1;37.1;37.1;37.1;37.1;31.6;31.6;31.6;31.6;31.6;;
Yunnan;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;50.0;50.0;50.0;50.0;50.0;47.5;47.5;47.5;47.5;47.5;;
Tibet;12.1;12.1;12.1;12.1;12.1;12.1;12.1;12.1;12.0;12.0;12.0;12.0;12.0;11.9;11.9;11.9;11.9;11.9;;
Shaanxi;43.1;43.1;43.1;43.1;43.1;43.1;43.1;43.1;41.4;41.4;41.4;41.4;41.4;37.3;37.3;37.3;37.3;37.3;;
Gansu;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;11.3;10.4;10.4;10.4;10.4;10.4;;
Qinghai;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.6;5.6;5.6;5.6;5.6;4.6;4.6;4.6;4.6;4.6;;
Ningxia;12.6;12.6;12.6;12.6;12.6;12.6;12.6;12.6;11.9;11.9;11.9;11.9;11.9;9.8;9.8;9.8;9.8;9.8;;
Xinjiang;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.2;4.2;4.2;4.2;4.2;4.0;4.0;4.0;4.0;4.0;;
