Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;10.5;1.8;6.4;15.7;4.6;24.8;5.5;32.1;21.1;95.2;25.7;11.5;;;;;;;;
Tianjin;4.5;12.9;;10.9;;14.5;;3.7;8.6;88.4;3.6;0.6;;;;;;;;
Hebei;328.2;286.1;289.2;503.9;722.0;1428.2;1699.5;1716.1;1709.6;2112.1;2181.9;2280.5;;;;;;;;
Shanxi;768.5;607.3;953.0;619.1;658.0;648.8;863.3;476.0;1465.9;546.7;1273.6;1330.1;;;;;;;;
Inner Mongolia;232.1;416.1;220.7;484.2;722.7;596.2;584.4;644.5;565.6;668.9;692.0;889.4;;;;;;;;
Liaoning;172.3;612.8;171.4;680.3;599.4;156.5;715.6;746.7;322.0;569.1;255.6;631.3;;;;;;;;
Jilin;75.7;475.1;177.7;383.7;363.4;259.9;450.5;545.5;675.4;712.4;201.5;779.6;;;;;;;;
Heilongjiang;101.4;528.6;397.6;362.3;241.5;589.1;249.7;257.4;666.9;796.2;660.6;698.7;;;;;;;;
Shanghai;73.4;0.8;18.9;40.8;;0.5;16.9;;12.1;42.0;44.1;0.1;;;;;;;;
Jiangsu;65.0;108.2;145.9;348.3;77.0;237.7;534.8;548.4;590.7;1492.9;1907.5;743.7;;;;;;;;
Zhejiang;322.9;230.7;896.0;139.9;113.0;436.9;704.6;471.4;1702.2;1126.7;784.7;611.6;;;;;;;;
Anhui;265.9;1064.1;789.1;728.3;347.6;1487.8;1069.7;1201.6;2855.9;2206.3;2990.3;1640.0;;;;;;;;
Fujian;44.5;59.3;139.8;115.1;61.4;562.3;370.9;155.8;404.2;225.6;156.1;809.2;;;;;;;;
Jiangxi;573.4;954.7;1545.9;621.1;665.5;805.1;628.3;634.2;1160.3;775.9;1659.3;2184.6;;;;;;;;
Shandong;109.9;395.7;1126.6;889.3;785.7;544.2;1173.2;959.8;1157.5;1940.3;3083.3;2226.3;;;;;;;;
Henan;2449.2;814.5;1221.9;1332.3;1538.5;712.2;516.5;2491.0;2587.8;1232.1;2468.0;1843.8;;;;;;;;
Hubei;654.1;1575.1;1281.6;1026.3;1254.8;2331.0;1100.2;986.9;2353.9;1703.6;2843.3;2362.5;;;;;;;;
Hunan;652.4;907.8;1173.9;698.5;1716.3;1660.1;1221.4;1704.9;3344.0;1622.8;4308.7;2283.9;;;;;;;;
Guangdong;100.1;119.0;103.8;675.2;326.4;618.5;848.7;742.8;2464.0;499.5;479.2;1087.6;;;;;;;;
Guangxi;261.1;336.9;356.0;224.6;357.4;301.6;768.3;1100.5;764.8;844.1;1473.4;2560.7;;;;;;;;
Hainan;36.8;26.7;12.9;60.2;88.4;457.3;144.9;621.4;366.3;197.5;516.7;437.7;;;;;;;;
Chongqing;140.0;401.8;145.9;148.2;252.1;371.8;189.2;649.7;1085.2;795.4;1466.8;1182.7;;;;;;;;
Sichuan;714.3;1152.3;487.6;836.8;421.8;741.7;997.5;1611.9;4555.5;3655.1;4652.4;4326.4;;;;;;;;
Guizhou;244.6;475.2;277.2;508.2;531.4;661.7;588.0;1493.8;2278.1;1194.8;3479.2;3082.1;;;;;;;;
Yunnan;791.5;1128.5;949.4;480.2;629.0;1168.7;1279.2;1414.8;1984.2;1760.0;2163.2;3119.6;;;;;;;;
Tibet;19.1;16.5;11.4;23.5;29.7;45.6;55.4;17.6;151.5;49.0;57.3;63.0;;;;;;;;
Shaanxi;834.5;409.7;458.8;330.7;687.3;543.9;583.0;1208.5;1471.9;733.2;1372.7;1572.5;;;;;;;;
Gansu;389.1;485.3;224.5;922.8;668.2;997.8;658.0;1052.7;1540.2;1185.2;1452.3;2741.7;;;;;;;;
Qinghai;49.5;48.3;86.9;72.9;207.6;124.4;189.5;129.8;167.5;172.7;235.6;261.3;;;;;;;;
Ningxia;132.2;93.2;14.6;42.6;227.2;186.1;131.0;220.6;188.7;144.6;181.2;182.3;;;;;;;;
Xinjiang;114.7;84.7;74.4;228.0;150.1;196.8;282.6;513.6;197.1;233.4;171.5;573.3;;;;;;;;
