Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;273;273;277;283;287;291;291;293;289;285;279;275;279;267;260;251;252;;;
Tianjin;208;212;217;222;232;241;246;249;250;254;262;266;270;268;264;261;259;;;
Hebei;2894;2980;3070;3169;3279;3402;3550;3708;3788;3878;3935;3993;3957;4060;4148;4224;4269;;;
Shanxi;1273;1308;1354;1406;1453;1502;1553;1612;1666;1727;1788;1857;1851;1872;1899;1923;1942;;;
Inner Mongolia;763;781;810;835;861;892;925;956;986;1025;1061;1100;1146;1180;1211;1240;1269;;;
Liaoning;1150;1185;1231;1276;1316;1347;1386;1436;1464;1503;1574;1658;1721;1724;1754;1752;1743;;;
Jilin;870;896;939;972;1018;1059;1107;1141;1181;1227;1270;1281;1279;1279;1279;1281;1290;;;
Heilongjiang;1072;1091;1152;1216;1295;1347;1395;1471;1538;1606;1646;1700;1703;1706;1763;1778;1792;;;
Shanghai;266;266;267;269;269;271;282;264;255;257;252;246;252;244;233;222;206;;;
Jiangsu;2216;2251;2332;2433;2512;2604;2703;2840;2917;3004;3048;3102;3468;3547;3614;3682;3756;;;
Zhejiang;1788;1800;1812;1881;1918;1960;2016;2064;2086;2109;2100;2090;2221;2210;2206;2206;2195;;;
Anhui;2482;2544;2618;2695;2769;2858;2947;3040;3122;3210;3297;3395;3550;3650;3750;3843;3947;;;
Fujian;1269;1300;1329;1355;1391;1430;1465;1499;1523;1563;1585;1584;1646;1710;1755;1778;1800;;;
Jiangxi;1741;1788;1848;1925;1998;2069;2139;2215;2281;2354;2427;2496;2518;2580;2630;2661;2716;;;
Shandong;3667;3756;3854;3884;3934;4076;4245;4436;4536;4657;4749;4823;4894;4935;4988;5017;5086;;;
Henan;4304;4431;4553;4711;4859;5008;5140;5300;5399;5530;5632;5784;5910;6032;6146;6342;6505;;;
Hubei;2094;2132;2262;2308;2369;2438;2505;2575;2638;2704;2777;2881;3089;3130;3174;3199;3243;;;
Hunan;2668;2740;2825;2913;3010;3134;3255;3373;3456;3544;3622;3725;3639;3691;3784;3887;3985;;;
Guangdong;3218;3263;3416;3481;3552;3555;3561;3605;3596;3627;3596;3531;3708;3624;3560;3494;3615;;;
Guangxi;2263;2299;2343;2383;2425;2465;2502;2550;2597;2653;2705;2766;2952;2978;3040;3084;3093;;;
Hainan;398;402;404;401;408;414;426;437;439;446;442;436;440;444;446;451;454;;;
Chongqing;953;980;1013;1056;1100;1140;1183;1225;1256;1290;1325;1355;1384;1420;1456;1497;1533;;;
Sichuan;3531;3622;3728;3869;3997;4126;4240;4354;4463;4580;4689;4812;5017;5094;5234;5367;5502;;;
Guizhou;1759;1807;1867;1929;1987;2046;2115;2197;2256;2285;2293;2303;2480;2549;2606;2677;2728;;;
Yunnan;2296;2359;2420;2472;2521;2589;2661;2735;2785;2849;2930;3005;3017;3044;3088;3116;3138;;;
Tibet;232;235;236;234;233;233;235;240;241;243;239;232;230;228;227;225;222;;;
Shaanxi;1438;1477;1527;1586;1637;1689;1741;1798;1842;1904;1982;2026;2106;2153;2202;2252;2316;;;
Gansu;1162;1195;1237;1265;1308;1359;1407;1461;1510;1561;1601;1635;1664;1695;1726;1755;1781;;;
Qinghai;232;237;243;251;261;270;279;283;290;298;304;311;324;328;331;333;330;;;
Ningxia;246;253;261;269;275;287;294;306;314;322;323;330;337;340;342;344;344;;;
Xinjiang;1107;1126;1138;1159;1193;1204;1222;1237;1258;1257;1252;1245;1298;1286;1275;1272;1264;;;
