AnnualbyProvince (4)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºLocal Governments General Budgetary Expenditure(100 million yuan);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;7205.12;7116.18;7408.19;7471.43;6824.53;6406.77;5737.70;4524.67;4173.66;3685.31;3245.23;2717.32;2319.37;1959.29;1649.50;1296.84;1058.31;898.28;734.80;628.35
Tianjin;3152.55;3151.35;3555.71;3103.16;3282.54;3699.43;3232.35;2884.70;2549.21;2143.21;1796.33;1376.84;1124.28;867.72;674.33;543.12;442.12;375.02;312.08;265.21
Hebei;8848.21;9022.79;8309.04;7726.21;6639.18;6049.53;5632.19;4677.30;4409.58;4079.44;3537.39;2820.24;2347.59;1881.67;1506.65;1180.36;979.16;785.56;646.74;576.59
Shanxi;5046.62;5110.87;4710.76;4283.91;3756.42;3428.86;3422.97;3085.28;3030.13;2759.46;2363.85;1931.36;1561.70;1315.02;1049.92;915.57;668.75;519.06;415.69;334.27
Inner Mongolia;5239.57;5270.16;5100.91;4831.46;4529.93;4512.71;4252.96;3879.98;3686.52;3425.99;2989.21;2273.50;1926.84;1454.57;1082.31;812.13;681.88;564.11;447.26;393.57
Liaoning;5879.21;6014.17;5745.09;5337.72;4879.42;4577.47;4481.61;5080.49;5197.42;4558.59;3905.85;3195.82;2682.39;2153.43;1764.28;1422.75;1204.36;931.40;784.38;690.92
Jilin;3696.84;4127.17;3933.42;3789.59;3725.72;3586.09;3217.10;2913.25;2744.81;2471.20;2201.74;1787.25;1479.21;1180.12;883.76;718.36;631.12;507.78;409.23;362.62
Heilongjiang;5104.81;5449.41;5011.56;4676.75;4641.08;4227.34;4020.66;3434.22;3369.18;3171.52;2794.08;2253.27;1877.74;1542.30;1187.27;968.53;787.79;697.55;564.91;531.87
Shanghai;8430.86;8102.11;8179.28;8351.54;7547.62;6918.94;6191.56;4923.44;4528.61;4184.02;3914.88;3302.89;2989.65;2593.92;2181.68;1795.57;1646.26;1382.53;1088.44;862.38
Jiangsu;14585.26;13681.55;12573.55;11657.35;10621.03;9981.96;9687.58;8472.45;7798.47;7027.67;6221.72;4914.06;4017.36;3247.49;2553.72;2013.25;1673.40;1312.04;1047.68;860.25
