AnnualbyProvince (1)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºUrban Population(10000 persons);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;1916;1916;1913;1909;1907;1904;1897;1878;1836;1793;1745;1686;1581;1504;1416;1350;1286;;;
Tianjin;1165;1175;1168;1161;1178;1202;1193;1180;1160;1124;1079;1034;958;908;851;814;783;;;
Hebei;4554;4484;4377;4257;4130;3973;3795;3615;3500;3384;3297;3201;3077;2928;2795;2674;2582;;;
Shanxi;2207;2182;2143;2096;2057;2012;1966;1916;1869;1821;1774;1717;1576;1539;1494;1451;1413;;;
Inner Mongolia;1637;1622;1605;1587;1572;1544;1515;1493;1469;1439;1409;1372;1313;1264;1218;1175;1134;;;
Liaoning;3079;3070;3046;3015;2996;2980;2952;2922;2901;2872;2805;2717;2620;2591;2544;2519;2478;;;
Jilin;1505;1503;1509;1512;1508;1508;1506;1501;1487;1471;1455;1465;1461;1455;1451;1442;1426;;;
Heilongjiang;2053;2080;2103;2111;2104;2116;2134;2137;2128;2118;2136;2134;2123;2119;2061;2045;2028;;;
Shanghai;2223;2222;2214;2206;2197;2196;2176;2203;2193;2142;2104;2056;1958;1897;1830;1742;1684;;;
Jiangsu;6289;6226;6137;6013;5911;5777;5612;5441;5275;5116;4975;4767;4343;4215;4109;3973;3832;;;
Zhejiang;4752;4668;4563;4392;4252;4112;3969;3826;3698;3576;3470;3356;3055;3002;2949;2866;2796;;;
Anhui;3631;3561;3474;3381;3288;3175;3064;2957;2866;2768;2675;2562;2581;2485;2368;2267;2173;;;
Fujian;2918;2861;2808;2749;2674;2586;2519;2446;2362;2278;2199;2109;2020;1929;1857;1807;1757;;;
Jiangxi;2776;2731;2668;2588;2513;2427;2346;2265;2195;2121;2047;1966;1914;1820;1739;1678;1595;;;
Shandong;6503;6409;6252;6193;6099;5897;5621;5372;5210;5051;4916;4765;4576;4483;4379;4291;4162;;;
Henan;5579;5510;5348;5153;4970;4770;4561;4345;4174;4002;3829;3621;3577;3397;3214;3050;2875;;;
Hubei;3736;3613;3665;3609;3535;3447;3345;3241;3160;3077;2983;2847;2631;2581;2525;2494;2467;;;
Hunan;3954;3905;3815;3722;3623;3491;3360;3238;3144;3046;2959;2845;2767;2689;2571;2455;2341;;;
Guangdong;9466;9361;9073;8867;8589;8353;8117;7884;7674;7414;7160;6910;6423;6269;6099;5949;5579;;;
Guangxi;2774;2720;2639;2564;2482;2392;2309;2220;2134;2041;1950;1844;1904;1838;1728;1635;1567;;;
Hainan;622;610;591;581;564;543;519;499;481;464;448;433;425;410;399;385;374;;;
Chongqing;2259;2229;2175;2107;2044;1970;1887;1818;1755;1685;1619;1529;1475;1419;1360;1311;1265;;;
Sichuan;4841;4749;4623;4452;4292;4126;3956;3785;3646;3505;3375;3232;3168;3044;2893;2802;2710;;;
Guizhou;2093;2051;1981;1893;1816;1712;1593;1480;1376;1302;1237;1176;1057;1047;1026;1013;1002;;;
Yunnan;2394;2363;2294;2231;2172;2088;2002;1918;1856;1782;1690;1597;1554;1499;1426;1367;1313;;;
Tibet;134;131;125;120;116;107;95;85;76;72;70;68;66;64;62;60;58;;;
Shaanxi;2516;2478;2417;2345;2267;2185;2105;2029;1962;1883;1783;1709;1621;1565;1506;1447;1374;;;
Gansu;1328;1306;1272;1250;1214;1161;1116;1070;1027;989;951;925;891;856;822;792;764;;;
Qinghai;362;356;347;336;325;312;298;293;281;273;264;252;234;226;221;215;213;;;
Ningxia;479;468;456;441;430;408;390;372;352;337;325;303;288;278;269;260;252;;;
Xinjiang;1482;1464;1421;1361;1287;1224;1163;1088;1027;996;973;940;860;845;820;778;747;;;
Note:Population data for 2000 and 2001 are estimated on the basis of population census, the rest of the data are estimated on the basis of the annual national sample surveys on population changes. Population data by region are permanent resident population since 2005.;;;;;;;;;;;;;;;;;;;;
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;
