AnnualbyProvince (15)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºParticulate Matter Emission(10000 tons);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;0.54;0.94;1.68;2.36;3.45;4.97;;;;;;;;;;;;;;
Tianjin;1.28;1.56;2.92;3.50;4.33;5.28;;;;;;;;;;;;;;
Hebei;34.98;37.07;48.22;53.83;57.80;81.99;;;;;;;;;;;;;;
Shanxi;29.62;45.13;39.35;50.05;71.70;107.12;;;;;;;;;;;;;;
Inner Mongolia;96.12;71.42;95.76;93.37;106.09;124.42;;;;;;;;;;;;;;
Liaoning;27.85;28.91;78.84;81.48;83.29;83.95;;;;;;;;;;;;;;
Jilin;16.92;24.52;23.19;22.60;34.97;38.64;;;;;;;;;;;;;;
Heilongjiang;35.08;38.72;51.62;58.49;71.95;78.03;;;;;;;;;;;;;;
Shanghai;0.98;1.05;1.54;1.82;1.99;4.82;;;;;;;;;;;;;;
Jiangsu;12.58;16.01;40.87;53.15;63.20;80.43;;;;;;;;;;;;;;
Zhejiang;7.16;8.60;24.07;27.32;31.45;39.12;;;;;;;;;;;;;;
Anhui;11.73;12.99;55.97;48.04;58.88;97.92;;;;;;;;;;;;;;
Fujian;9.31;13.07;49.09;42.39;37.02;67.46;;;;;;;;;;;;;;
Jiangxi;10.97;14.52;39.98;44.44;55.74;68.26;;;;;;;;;;;;;;
Shandong;21.59;24.42;37.16;38.57;48.34;62.26;;;;;;;;;;;;;;
Henan;7.27;8.58;17.53;21.49;25.68;38.06;;;;;;;;;;;;;;
Hubei;13.36;18.91;31.87;31.52;41.50;50.62;;;;;;;;;;;;;;
Hunan;15.02;21.46;50.04;53.30;60.04;70.12;;;;;;;;;;;;;;
Guangdong;13.47;15.65;58.67;61.77;54.12;78.10;;;;;;;;;;;;;;
Guangxi;8.76;11.00;38.37;37.54;37.69;38.14;;;;;;;;;;;;;;
Hainan;0.93;0.99;2.31;1.60;1.73;2.25;;;;;;;;;;;;;;
Chongqing;5.80;8.47;15.70;16.14;16.78;17.63;;;;;;;;;;;;;;
Sichuan;19.21;22.40;34.57;34.64;40.95;41.82;;;;;;;;;;;;;;
Guizhou;11.59;18.21;18.93;32.24;39.25;49.25;;;;;;;;;;;;;;
Yunnan;24.81;29.57;52.20;50.90;47.77;56.26;;;;;;;;;;;;;;
Tibet;0.83;1.02;13.52;5.45;4.92;9.40;;;;;;;;;;;;;;
Shaanxi;23.14;28.43;29.93;31.20;41.72;56.74;;;;;;;;;;;;;;
Gansu;13.12;14.90;51.63;53.24;51.25;59.51;;;;;;;;;;;;;;
Qinghai;5.67;7.63;10.03;10.59;11.44;13.76;;;;;;;;;;;;;;
Ningxia;6.53;10.21;19.78;19.64;23.31;25.42;;;;;;;;;;;;;;
Xinjiang;51.37;55.04;53.14;49.60;56.56;56.27;;;;;;;;;;;;;;
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;
