Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;;;;;;;4.94;5.74;5.93;6.68;6.58;;;;;;;;;
Tianjin;;;;;;;10.07;13.95;8.75;8.41;7.59;;;;;;;;;
Hebei;;;;;;;157.54;179.77;131.33;123.59;132.25;;;;;;;;;
Shanxi;;;;;;;144.89;150.68;102.67;107.09;112.99;;;;;;;;;
Inner Mongolia;;;;;;;87.88;102.15;82.21;83.30;73.99;;;;;;;;;
Liaoning;;;;;;;100.00;112.07;67.06;72.63;69.32;;;;;;;;;
Jilin;;;;;;;44.73;47.51;32.02;26.48;43.22;;;;;;;;;
Heilongjiang;;;;;;;64.41;79.35;72.25;69.93;65.59;;;;;;;;;
Shanghai;;;;;;;12.07;14.17;8.09;8.71;8.98;;;;;;;;;
Jiangsu;;;;;;;65.45;76.37;50.00;44.32;52.74;;;;;;;;;
Zhejiang;;;;;;;33.02;37.97;31.97;25.40;32.33;;;;;;;;;
Anhui;;;;;;;54.59;65.28;41.86;46.21;45.22;;;;;;;;;
Fujian;;;;;;;34.17;36.79;25.94;25.26;22.53;;;;;;;;;
Jiangxi;;;;;;;48.06;46.23;35.63;35.74;39.60;;;;;;;;;
Shandong;;;;;;;108.25;120.81;69.67;69.53;78.38;;;;;;;;;
Henan;;;;;;;84.61;88.21;64.13;59.98;66.82;;;;;;;;;
Hubei;;;;;;;44.70;50.40;35.95;34.97;34.61;;;;;;;;;
Hunan;;;;;;;45.45;49.62;35.87;34.07;38.44;;;;;;;;;
Guangdong;;;;;;;34.78;44.95;35.40;32.83;32.43;;;;;;;;;
Guangxi;;;;;;;35.59;40.29;28.95;29.97;28.83;;;;;;;;;
Hainan;;;;;;;2.04;2.32;1.80;1.66;1.58;;;;;;;;;
Chongqing;;;;;;;20.91;22.61;19.12;18.23;18.10;;;;;;;;;
Sichuan;;;;;;;41.26;42.86;29.60;29.58;38.59;;;;;;;;;
Guizhou;;;;;;;28.56;37.79;30.13;29.45;30.35;;;;;;;;;
Yunnan;;;;;;;31.26;36.68;38.69;39.06;38.22;;;;;;;;;
Tibet;;;;;;;1.71;1.39;0.68;0.66;1.00;;;;;;;;;
Shaanxi;;;;;;;60.36;70.91;53.77;46.21;46.34;;;;;;;;;
Gansu;;;;;;;29.54;34.58;22.66;20.76;23.62;;;;;;;;;
Qinghai;;;;;;;24.60;23.99;17.38;15.64;13.83;;;;;;;;;
Ningxia;;;;;;;22.99;23.92;23.06;19.83;21.55;;;;;;;;;
Xinjiang;;;;;;;59.59;81.39;75.59;69.61;53.19;;;;;;;;;
