Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;0.14;0.18;0.19;0.27;0.65;1.50;7.12;7.89;8.70;9.38;9.79;11.51;11.88;12.30;15.17;17.60;19.00;19.10;;
Tianjin;0.85;1.02;1.78;1.90;2.51;2.67;18.59;20.92;21.68;22.45;23.09;23.52;23.67;24.00;24.47;25.50;26.50;22.70;;
Hebei;17.07;16.17;28.69;34.32;43.31;55.18;110.84;118.99;128.47;134.12;141.21;123.38;125.35;134.50;149.25;154.50;149.50;142.80;;
Shanxi;14.70;16.05;22.86;28.19;34.12;49.59;112.06;120.82;125.54;130.18;139.91;124.92;126.84;130.80;138.67;147.80;151.60;141.50;;
Inner Mongolia;22.48;27.39;35.24;36.33;37.81;56.95;123.09;131.24;135.87;138.49;140.94;139.41;139.88;143.10;145.58;155.70;145.60;117.90;;
Liaoning;16.33;20.64;26.31;32.12;34.90;41.12;96.88;99.46;102.70;105.87;112.62;102.22;105.14;113.10;123.38;125.90;119.70;83.10;;
Jilin;6.23;6.84;9.84;8.96;12.27;14.40;36.29;37.23;38.15;40.35;41.32;35.63;36.30;37.80;39.90;40.90;38.30;28.50;;
Heilongjiang;11.03;14.32;13.49;14.61;18.37;21.86;45.63;47.22;48.91;51.43;52.19;49.02;49.04;50.60;51.54;51.80;50.80;37.30;;
Shanghai;0.58;0.54;0.75;1.11;1.38;6.50;17.08;18.81;21.58;22.82;24.01;35.81;37.89;44.60;49.78;50.80;51.30;47.40;;
Jiangsu;8.86;11.26;28.46;31.68;38.32;57.80;83.51;90.47;94.17;99.20;105.38;105.05;107.42;113.00;121.81;130.40;137.30;124.00;;
Zhejiang;4.33;5.15;7.78;8.69;11.18;13.33;53.78;57.40;59.34;62.58;66.20;67.83;70.13;74.10;79.70;85.90;86.00;81.40;;
Anhui;8.55;10.86;15.10;16.27;19.54;27.20;48.01;49.30;50.13;51.96;52.95;53.21;53.84;55.60;57.17;58.40;57.10;49.00;;
Fujian;6.51;7.88;12.54;10.85;11.95;24.16;33.79;35.60;36.10;37.13;38.92;40.91;41.97;42.90;44.57;46.90;46.10;32.60;;
Jiangxi;8.75;10.25;22.71;24.94;31.72;45.81;52.81;53.44;55.77;56.77;58.41;55.71;56.42;58.30;62.10;63.40;61.30;51.90;;
Shandong;16.53;19.33;28.15;34.13;41.63;72.98;152.57;159.02;164.50;174.88;182.74;153.78;159.03;169.20;182.21;196.20;200.20;182.10;;
Henan;6.00;6.68;10.44;12.27;13.98;38.65;114.43;119.82;125.40;127.59;137.05;133.87;135.50;145.20;156.39;162.40;162.40;125.60;;
Hubei;9.21;9.72;11.68;12.08;17.37;21.78;55.14;58.38;59.94;62.24;66.56;63.26;64.38;67.00;70.76;76.00;71.80;69.20;;
Hunan;8.49;10.24;19.13;22.94;27.59;30.92;59.55;62.37;64.13;64.50;68.55;80.13;81.15;84.00;90.43;93.40;91.90;87.30;;
Guangdong;9.79;11.69;12.04;15.10;18.73;25.56;67.83;73.01;76.19;79.92;84.77;105.05;107.05;113.60;120.30;126.70;129.40;114.80;;
Guangxi;7.43;8.78;9.51;10.06;10.52;13.79;42.12;46.66;47.20;50.41;52.10;90.38;89.05;92.50;97.38;99.40;102.40;94.40;;
Hainan;0.43;0.59;0.69;0.81;0.97;1.34;3.23;3.26;3.24;3.41;3.26;2.88;2.20;2.20;2.56;2.40;2.20;2.30;;
Chongqing;5.06;6.75;7.50;9.17;12.24;12.93;49.58;52.69;54.77;56.48;58.69;71.94;74.61;78.20;82.62;86.00;83.70;79.50;;
Sichuan;13.58;16.31;18.82;19.17;22.32;30.79;71.76;79.64;81.67;86.44;90.20;113.10;113.53;114.80;117.87;128.10;130.00;126.50;;
Guizhou;14.31;17.74;23.37;32.55;35.89;35.37;85.30;92.58;98.64;104.11;110.43;114.88;117.55;123.60;137.51;146.50;135.80;131.50;;
Yunnan;17.31;17.66;23.58;24.74;26.01;45.17;58.37;63.67;66.31;67.22;69.12;50.07;49.93;50.20;53.37;55.10;52.20;47.80;;
Tibet;0.22;0.57;0.34;0.36;0.30;0.35;0.54;0.42;0.42;0.42;0.42;0.39;0.17;0.20;0.19;0.20;0.20;0.10;;
Shaanxi;8.11;9.37;14.33;14.72;18.58;25.02;73.50;78.10;80.62;84.38;91.68;77.86;80.44;88.90;92.72;98.10;92.20;81.80;;
Gansu;8.47;8.58;11.29;12.55;13.13;15.67;57.06;57.56;56.20;57.25;62.39;55.18;50.03;50.20;52.32;54.60;56.30;48.40;;
Qinghai;4.08;4.01;4.32;4.65;5.03;5.62;15.08;15.43;15.67;15.39;15.66;14.34;13.57;13.50;13.39;13.00;12.40;7.30;;
Ningxia;6.03;7.16;12.50;13.06;14.81;19.65;35.76;37.71;38.97;40.66;41.04;31.08;31.42;34.80;36.98;38.30;34.20;29.30;;
Xinjiang;13.33;14.48;23.86;27.51;33.69;41.24;77.83;85.30;82.94;79.61;76.31;58.85;58.99;58.50;57.99;54.90;51.90;48.10;;
