Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;99.8;104.9;108.4;103.0;107.4;102.6;101.1;101.1;101.2;101.4;102.3;100.6;100.4;100.6;99.9;99.8;96.8;98.4;99.9;100.7
Tianjin;100.0;99.9;100.9;102.6;115.4;108.8;101.2;100.9;101.2;102.3;100.7;104.1;104.2;102.4;99.5;101.5;97.6;91.6;92.1;102.6
Hebei;100.3;102.1;104.4;107.4;106.9;104.4;103.0;101.7;101.9;101.7;102.4;102.4;101.6;102.6;100.5;98.8;98.7;103.3;108.8;96.0
Shanxi;99.5;109.4;101.8;103.6;107.5;102.4;102.3;100.9;100.9;101.9;103.2;102.2;101.5;100.8;100.6;103.3;99.5;97.5;97.9;92.1
Inner Mongolia;100.3;103.6;101.7;102.7;110.0;104.4;101.9;101.0;101.9;101.4;101.0;101.4;100.7;100.9;99.5;98.0;107.7;100.2;97.9;97.9
Liaoning;99.8;103.4;101.6;111.1;107.5;102.5;101.7;101.2;101.3;101.4;102.8;102.4;101.6;101.5;101.4;100.0;98.9;103.8;104.9;95.2
Jilin;100.0;101.8;101.7;105.3;110.9;106.1;103.4;100.6;101.1;101.7;103.0;101.6;101.2;101.1;110.3;99.5;97.8;98.3;101.9;100.2
Heilongjiang;101.1;102.5;102.0;108.6;110.4;103.7;103.4;103.0;101.4;102.1;103.6;107.2;102.6;103.9;102.0;98.8;100.1;101.0;98.6;96.6
Shanghai;98.9;101.2;103.3;102.4;106.6;109.0;100.7;101.7;100.8;99.9;100.6;100.8;101.0;100.5;98.4;98.1;100.4;98.9;99.1;96.5
Jiangsu;101.0;100.1;101.0;101.2;101.5;109.1;102.1;102.4;101.3;100.6;101.9;102.4;100.8;101.4;101.0;100.3;99.4;98.1;99.9;99.1
Zhejiang;100.8;101.5;104.8;102.6;102.3;101.3;103.8;102.5;100.3;101.0;103.5;106.2;103.4;106.1;102.2;101.3;100.5;92.3;100.1;97.6
Anhui;100.5;101.2;101.5;102.8;103.9;103.6;105.4;101.9;101.3;101.0;103.4;103.7;101.2;101.2;100.4;99.5;96.9;99.2;99.8;97.8
Fujian;100.0;100.2;101.4;102.1;103.0;102.9;106.6;101.3;102.2;102.7;104.5;103.5;100.5;101.9;102.4;98.4;97.9;96.2;98.2;98.3
Jiangxi;99.9;99.9;101.0;108.3;109.0;102.7;101.5;101.3;101.2;102.1;102.1;102.3;101.1;102.5;101.2;100.1;99.1;93.9;96.6;100.2
Shandong;100.1;101.5;102.0;103.0;105.4;104.9;101.8;101.2;100.8;101.8;102.3;102.0;101.6;101.6;101.5;100.1;99.4;99.8;101.0;97.9
Henan;100.4;103.4;101.9;106.1;106.3;102.8;103.1;101.3;101.6;101.1;101.9;103.6;101.7;102.8;100.6;99.0;97.4;98.4;103.2;109.3
Hubei;100.1;102.2;101.8;103.5;110.6;101.9;102.6;100.9;102.2;102.7;103.1;103.4;101.4;102.9;102.1;104.2;97.6;97.4;99.4;94.7
Hunan;100.7;101.0;101.4;102.5;105.0;103.1;102.4;102.9;101.7;102.6;103.3;101.8;100.1;101.6;102.4;98.8;97.9;99.9;108.6;97.5
Guangdong;100.2;100.8;103.9;104.5;106.2;102.8;102.5;101.2;101.6;101.7;104.5;104.4;100.7;102.6;105.1;99.5;99.1;99.6;100.6;97.4
Guangxi;102.4;105.5;101.8;104.5;106.1;103.7;102.4;101.6;100.9;101.6;103.8;101.3;99.9;103.1;103.6;107.0;99.4;101.9;103.9;98.3
Hainan;99.4;100.3;101.5;103.6;111.1;104.4;104.7;102.5;102.9;101.8;101.1;101.9;105.7;100.4;98.6;97.2;99.0;100.2;101.2;102.9
Chongqing;99.6;101.9;100.7;105.7;104.2;101.8;104.1;102.8;101.2;102.0;101.5;103.4;99.8;101.4;98.8;100.1;104.0;98.7;99.2;94.4
Sichuan;101.9;100.7;102.8;102.8;104.2;101.6;102.4;101.4;102.3;101.5;102.1;104.8;101.4;102.2;101.2;100.3;101.4;105.1;103.8;99.2
Guizhou;100.4;100.8;102.9;102.0;101.8;101.5;100.6;101.3;101.0;102.3;103.5;100.9;100.1;99.2;99.2;99.1;100.5;107.2;107.3;99.7
Yunnan;100.1;100.6;102.0;104.1;104.3;102.4;103.0;101.2;102.9;101.1;103.5;104.8;102.5;105.2;106.7;106.8;102.7;98.8;98.6;103.4
Tibet;100.8;102.2;103.0;102.1;102.7;102.1;102.3;101.7;100.3;100.5;101.6;100.3;100.4;101.5;99.2;100.3;100.5;100.3;100.9;101.3
Shaanxi;99.3;100.9;101.4;104.0;108.6;102.4;102.4;103.5;102.5;103.7;104.0;106.5;102.0;102.1;103.0;99.9;97.9;95.5;108.2;98.7
Gansu;100.2;100.6;102.0;108.0;105.2;100.8;102.0;101.6;102.8;104.3;106.5;103.9;101.4;104.0;110.2;103.4;103.1;98.2;101.6;99.6
Qinghai;102.2;104.2;102.1;103.4;105.9;102.6;103.0;101.6;102.5;101.0;102.3;104.0;101.7;106.1;105.2;103.1;101.0;101.6;106.4;107.8
Ningxia;101.7;100.6;104.0;101.9;104.8;102.9;101.0;101.7;103.4;100.8;103.5;101.7;101.9;101.7;99.8;99.0;96.8;96.4;99.3;98.0
Xinjiang;100.2;100.4;101.1;112.5;109.6;102.7;102.0;101.9;101.5;102.6;102.7;101.7;102.2;102.1;100.4;98.8;114.2;102.6;92.3;102.5

