Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;;605.64;534.41;490.09;427.87;397.95;370.52;322.29;276.13;256.06;225.49;186.82;166.63;145.05;118.95;;;;;
Tianjin;;175.49;197.86;192.76;182.10;203.23;195.02;161.33;128.94;105.91;90.53;70.07;54.22;41.92;33.10;;;;;
Hebei;;817.27;695.07;691.33;605.10;547.86;535.09;446.79;380.75;323.17;302.75;235.48;174.68;120.24;78.11;;;;;
Shanxi;;433.55;366.68;358.99;321.34;300.86;290.71;243.94;201.63;180.34;159.62;113.86;101.73;71.50;52.10;;;;;
Inner Mongolia;;375.05;322.18;315.62;323.48;284.63;257.15;227.78;196.03;177.91;164.59;120.72;102.94;59.82;43.87;;;;;
Liaoning;;413.52;364.54;350.62;336.63;307.31;281.96;273.61;229.50;200.19;182.07;151.36;163.32;83.90;66.60;;;;;
Jilin;;300.20;281.69;281.22;279.22;273.62;245.81;206.44;181.51;160.36;143.87;110.91;107.34;59.52;42.31;;;;;
Heilongjiang;;401.19;314.42;301.00;297.17;280.56;273.96;235.31;190.50;173.33;170.78;135.18;135.50;71.70;57.54;;;;;
Shanghai;;545.06;493.44;470.12;412.18;383.10;303.46;264.75;214.92;197.34;190.03;160.07;132.85;122.28;88.83;;;;;
Jiangsu;;1007.47;906.01;845.32;789.52;712.77;649.31;560.93;475.86;418.14;349.86;249.69;198.21;148.61;115.29;;;;;
Zhejiang;;838.85;735.61;626.20;584.17;542.44;485.50;433.80;350.73;305.91;278.98;224.53;177.05;142.87;112.28;;;;;
Anhui;;761.62;687.36;627.10;597.74;480.12;485.60;425.00;361.80;319.39;277.23;184.22;165.74;103.84;65.41;;;;;
Fujian;;521.96;467.76;441.70;420.44;377.58;351.19;292.14;224.23;185.99;159.30;117.58;93.39;74.27;51.99;;;;;
Jiangxi;;642.36;630.99;585.47;492.59;438.72;398.79;338.45;262.14;219.15;196.32;150.02;120.55;76.92;58.07;;;;;
Shandong;;1045.50;912.07;885.15;829.27;790.19;701.43;605.67;485.86;422.91;360.36;250.77;189.24;140.42;99.65;;;;;
Henan;;1085.39;986.78;928.95;836.66;778.01;717.74;602.95;492.48;425.99;361.48;270.21;223.15;145.47;98.78;;;;;
Hubei;;1019.71;601.82;575.74;614.69;588.90;515.25;401.32;322.08;267.99;247.30;179.13;139.24;95.08;66.11;;;;;
Hunan;;737.62;661.58;627.10;585.98;546.27;493.74;422.40;342.47;294.17;256.76;180.44;159.20;87.60;59.20;;;;;
Guangdong;;1772.99;1579.60;1407.51;1307.56;1121.83;918.36;777.55;569.32;505.14;433.75;304.04;252.85;201.15;140.77;;;;;
Guangxi;;624.84;565.29;546.52;512.31;468.18;413.87;355.33;285.61;253.17;232.88;165.49;116.15;78.77;50.75;;;;;
Hainan;;220.09;169.80;144.46;127.37;114.17;100.54;88.46;69.59;59.86;50.30;34.82;30.13;18.64;12.46;;;;;
Chongqing;;434.45;383.26;372.79;353.79;331.18;313.98;246.34;198.05;167.43;143.70;94.87;76.73;51.64;33.97;;;;;
Sichuan;;1030.52;943.27;880.89;831.46;772.24;686.42;584.10;487.20;424.26;372.96;263.34;219.10;143.56;98.87;;;;;
Guizhou;;565.66;534.78;481.80;436.21;392.51;360.80;303.25;228.71;201.05;173.26;127.68;102.84;67.44;48.79;;;;;
Yunnan;;711.34;608.50;575.42;546.99;466.98;422.66;352.41;300.57;266.94;236.98;183.70;151.29;104.59;77.11;;;;;
Tibet;;144.37;123.05;106.93;93.80;69.97;62.80;48.86;40.29;36.12;35.30;32.04;22.09;16.35;17.16;;;;;
Shaanxi;;509.17;466.29;455.31;418.27;381.66;369.38;313.45;257.14;222.30;197.61;156.66;125.83;78.39;49.91;;;;;
Gansu;;370.24;326.41;313.53;289.24;273.25;250.10;204.19;165.86;148.21;143.18;100.40;88.37;58.32;41.03;;;;;
Qinghai;;172.09;148.23;141.60;125.21;103.06;99.43;80.13;68.64;60.11;47.44;38.94;32.48;24.66;19.50;;;;;
Ningxia;;118.57;106.49;105.55;97.98;82.03;74.11;65.27;53.77;46.09;41.09;34.02;22.92;17.11;11.42;;;;;
Xinjiang;;471.66;302.36;286.14;266.71;256.43;244.01;202.32;160.91;145.88;132.43;103.56;84.94;58.64;45.82;;;;;
