Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;13.03;12.70;12.78;12.36;12.06;11.70;11.16;10.98;10.40;10.02;9.47;9.28;9.01;;8.39;8.14;7.91;7.71;7.41;7.53
Tianjin;6.87;6.83;6.83;6.82;6.84;6.58;6.37;6.09;5.77;5.35;4.94;4.88;4.64;;4.43;4.36;4.15;4.10;4.01;4.01
Hebei;45.50;44.20;43.01;42.19;39.50;36.05;34.21;32.29;30.35;28.44;26.65;24.97;23.26;;19.56;17.30;16.21;15.76;15.79;17.20
Shanxi;22.89;22.37;21.84;20.83;19.75;18.97;18.32;17.74;17.26;16.53;15.71;15.59;14.45;;10.87;11.21;10.80;10.79;10.34;10.36
Inner Mongolia;16.66;16.21;16.11;15.90;15.03;13.92;13.39;12.90;12.01;11.08;10.06;9.34;8.74;;7.39;6.98;6.90;6.63;6.49;6.51
Liaoning;32.45;31.45;31.38;31.44;29.86;28.44;26.70;25.55;24.19;23.10;21.58;20.42;19.15;;18.00;17.94;17.75;17.69;17.06;17.21
Jilin;17.65;17.31;17.03;16.70;15.37;15.12;14.45;14.10;13.32;12.78;12.12;11.51;10.83;;9.44;9.05;8.73;8.59;8.58;8.51
Heilongjiang;26.05;25.33;26.26;25.01;24.17;22.01;21.26;20.13;18.92;17.82;16.53;15.99;14.66;;12.61;12.32;11.97;11.95;11.56;11.96
Shanghai;16.04;15.22;14.65;13.90;13.46;12.92;12.28;11.75;11.43;10.98;10.71;10.51;9.97;;9.60;9.32;8.98;8.53;8.34;8.45
Jiangsu;54.86;53.50;51.60;49.15;46.92;44.31;41.36;39.23;36.83;33.31;29.64;26.95;25.08;;22.04;20.89;19.75;18.63;17.61;17.43
Zhejiang;36.99;36.13;35.02;33.21;31.35;28.99;27.25;24.58;23.01;21.33;19.48;18.41;17.02;;15.47;14.81;14.07;13.45;12.64;11.89
Anhui;41.10;40.78;34.74;32.81;30.57;28.17;26.74;25.20;23.60;22.23;20.42;18.80;17.45;;13.96;13.33;12.66;12.17;11.89;11.83
Fujian;22.38;21.68;20.22;19.25;18.24;17.48;17.30;16.48;15.61;13.93;12.42;11.30;10.43;;7.96;8.45;8.16;8.03;7.83;7.35
Jiangxi;30.73;28.58;26.71;24.95;23.40;20.91;19.78;18.67;17.43;16.37;13.56;12.46;11.54;;9.49;8.81;8.48;8.38;8.24;9.02
Shandong;67.39;64.69;62.97;60.85;58.48;54.10;51.94;50.06;48.97;47.38;41.61;38.23;34.71;;27.88;25.84;24.76;22.94;21.61;21.89
Henan;72.13;66.72;64.01;60.85;55.90;52.15;48.96;45.93;42.98;39.40;34.96;32.76;30.24;;23.95;22.38;21.24;20.76;20.23;19.72
Hubei;43.40;41.14;40.33;39.35;37.62;36.06;34.31;31.75;28.82;25.30;22.40;20.04;18.72;;15.06;14.22;13.91;13.75;13.60;13.19
Hunan;53.27;51.99;50.63;48.24;45.23;42.58;39.70;35.55;31.41;28.70;25.77;23.35;21.20;;17.24;15.94;15.13;14.72;14.36;13.98
Guangdong;58.90;56.48;54.52;51.69;49.21;46.51;43.57;40.58;37.84;35.53;32.50;30.01;27.20;;23.42;22.03;20.89;19.86;18.69;17.96
Guangxi;31.90;29.56;27.74;25.59;24.11;22.45;21.45;20.16;18.72;16.87;15.20;14.37;13.16;;10.52;9.68;9.35;9.18;8.81;8.77
Hainan;6.14;5.85;4.98;4.48;4.20;4.03;3.87;3.45;3.21;3.03;2.85;2.60;2.35;;2.08;1.99;1.87;1.81;1.78;1.90
Chongqing;24.07;23.55;23.18;22.01;20.64;19.09;17.65;16.06;14.74;13.08;11.56;10.36;9.27;;7.46;6.83;6.42;6.33;6.27;6.17
Sichuan;66.20;64.98;63.18;59.89;56.35;51.92;48.88;45.96;42.66;39.01;33.47;30.12;27.51;;21.45;20.03;19.32;18.94;18.54;18.70
Guizhou;29.69;27.64;26.50;24.56;23.30;21.03;19.64;18.22;16.67;13.92;11.75;10.53;9.75;;7.92;6.62;6.16;6.14;5.91;5.96
Yunnan;33.03;32.52;31.19;29.12;27.48;25.36;23.76;22.49;21.01;19.47;17.34;15.71;14.02;;11.90;10.99;10.63;10.17;9.58;9.66
Tibet;1.97;1.86;1.71;1.68;1.61;1.45;1.40;1.19;1.10;0.84;0.96;0.88;0.85;;0.68;0.75;0.68;0.64;0.62;0.61
Shaanxi;28.45;27.24;26.58;25.37;24.13;22.54;21.19;19.94;18.51;16.92;15.38;14.23;13.44;;11.79;11.09;10.64;10.30;10.20;10.04
Gansu;18.32;17.19;18.12;16.27;14.66;13.43;12.77;12.24;11.61;11.23;9.49;9.04;8.15;;7.03;6.60;6.33;6.14;6.04;6.09
Qinghai;4.22;4.13;4.14;3.91;3.83;3.47;3.45;3.30;2.95;2.60;2.31;2.05;1.92;;1.61;1.55;1.51;1.54;1.54;1.58
Ningxia;4.12;4.13;4.10;4.10;3.98;3.63;3.38;3.25;3.11;2.78;2.58;2.37;2.21;;1.89;1.83;1.78;1.69;1.57;1.38
Xinjiang;18.61;18.15;18.64;17.89;16.76;15.69;15.03;14.30;13.73;13.16;12.54;11.62;10.72;;9.03;8.33;7.94;7.77;7.27;6.75
