Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;12.23;11.92;12.02;11.64;11.37;11.01;10.46;10.29;9.66;9.26;8.76;8.58;;;;;;;;
Tianjin;6.22;6.15;6.10;6.03;6.02;5.76;5.56;5.24;4.91;4.48;4.08;4.04;;;;;;;;
Hebei;36.02;34.80;32.86;32.07;29.95;27.08;25.38;23.69;22.04;20.33;18.75;17.30;;;;;;;;
Shanxi;18.61;18.13;17.50;16.36;15.42;14.70;14.03;13.40;12.83;11.99;11.07;10.83;;;;;;;;
Inner Mongolia;13.38;13.02;12.88;12.64;11.87;10.97;10.52;9.91;9.16;8.22;7.29;6.70;;;;;;;;
Liaoning;27.81;26.91;26.71;26.60;25.30;23.94;22.26;21.02;19.75;18.56;17.10;16.09;;;;;;;;
Jilin;15.12;14.88;14.51;14.04;12.66;12.48;11.77;11.40;10.63;10.02;9.46;8.93;;;;;;;;
Heilongjiang;22.12;21.52;21.90;20.96;20.08;18.15;17.36;16.31;15.13;14.12;12.94;12.39;;;;;;;;
Shanghai;14.27;13.43;12.85;12.08;11.59;11.01;10.35;9.83;9.47;9.02;8.75;8.48;;;;;;;;
Jiangsu;42.99;42.17;40.72;38.80;36.98;35.62;32.85;30.93;28.62;25.59;22.17;19.53;;;;;;;;
Zhejiang;32.74;31.70;30.71;29.37;27.71;25.48;23.94;21.34;19.71;18.07;16.29;15.10;;;;;;;;
Anhui;31.84;31.85;27.21;25.36;23.32;21.63;20.27;18.77;17.15;15.78;14.10;12.34;;;;;;;;
Fujian;17.63;16.92;15.63;14.80;13.94;13.19;12.96;12.28;11.48;10.20;8.99;8.09;;;;;;;;
Jiangxi;22.40;20.68;18.96;17.28;16.01;14.30;13.43;12.51;11.48;10.32;8.72;7.78;;;;;;;;
Shandong;52.23;49.95;48.13;46.07;44.10;39.94;37.89;35.96;34.21;32.20;28.04;25.58;;;;;;;;
Henan;53.70;50.29;48.12;45.57;41.38;38.71;35.83;33.27;30.65;27.45;23.98;22.10;;;;;;;;
Hubei;31.46;29.60;28.82;28.15;27.09;25.69;24.35;22.24;20.02;17.38;15.21;13.50;;;;;;;;
Hunan;38.98;37.69;36.51;34.64;31.95;29.93;27.59;24.70;21.50;18.81;16.84;15.01;;;;;;;;
Guangdong;47.97;45.91;44.19;41.62;39.34;37.17;34.53;31.97;29.42;27.29;24.61;22.41;;;;;;;;
Guangxi;21.97;20.20;18.83;17.32;16.15;14.85;14.03;12.94;11.85;10.74;9.58;8.89;;;;;;;;
Hainan;4.85;4.66;4.08;3.59;3.25;3.17;3.03;2.65;2.46;2.29;2.14;1.88;;;;;;;;
Chongqing;17.82;17.49;17.11;16.21;15.05;13.62;12.39;10.93;9.91;8.61;7.48;6.48;;;;;;;;
Sichuan;49.75;48.48;46.98;44.22;41.19;37.54;34.58;31.92;28.92;25.73;21.15;18.48;;;;;;;;
Guizhou;23.21;21.30;20.58;18.92;17.83;15.91;14.81;13.56;12.04;9.69;7.84;6.93;;;;;;;;
Yunnan;25.61;25.25;24.13;22.33;21.08;19.47;18.13;16.97;15.61;14.35;12.63;11.25;;;;;;;;
Tibet;1.48;1.43;1.27;1.26;1.17;1.04;0.99;0.80;0.73;0.54;0.63;0.54;;;;;;;;
Shaanxi;23.36;21.93;21.57;20.44;19.32;18.03;16.72;15.49;14.21;12.69;11.43;10.48;;;;;;;;
Gansu;14.25;13.27;14.29;12.61;11.12;10.06;9.46;9.05;8.45;7.64;6.67;6.38;;;;;;;;
Qinghai;3.58;3.53;3.46;3.25;3.20;2.92;2.83;2.69;2.36;2.07;1.86;1.62;;;;;;;;
Ningxia;3.57;3.56;3.54;3.57;3.48;3.20;2.96;2.85;2.71;2.39;2.20;2.03;;;;;;;;
Xinjiang;14.22;14.50;14.47;14.18;13.12;12.32;11.80;11.24;10.79;10.31;9.74;8.99;;;;;;;;
