Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;36.10;34.81;34.32;32.61;31.52;29.95;28.92;27.40;26.31;25.32;23.57;22.36;21.17;19.43;18.31;16.63;15.70;15.34;14.82;14.39
Tianjin;15.25;14.32;13.92;13.25;12.96;12.26;11.81;11.17;10.65;10.42;10.02;9.67;9.34;8.59;8.16;7.86;7.76;7.75;7.83;7.81
Hebei;71.03;67.50;64.72;62.40;59.06;55.51;53.33;51.29;49.20;46.33;44.91;43.74;40.74;30.32;29.89;27.97;27.44;26.84;26.23;26.22
Shanxi;36.29;35.14;34.17;33.09;31.90;31.13;29.49;28.93;28.39;27.95;27.16;27.60;26.44;19.12;17.51;17.90;17.39;17.47;16.99;16.67
Inner Mongolia;26.17;25.48;24.93;24.14;23.31;22.11;21.25;20.30;19.60;18.39;17.52;16.89;17.77;13.12;12.62;12.06;12.12;12.03;12.04;12.06
Liaoning;41.77;40.15;39.67;39.19;38.09;36.57;34.85;33.92;33.84;32.97;31.91;31.68;31.00;27.49;27.27;27.34;26.52;27.03;26.93;26.72
Jilin;27.67;27.29;24.64;24.20;22.43;22.33;21.42;20.61;20.02;19.64;19.29;18.71;18.08;16.23;16.07;16.14;15.70;16.15;16.14;16.04
Heilongjiang;31.49;31.04;30.56;29.96;30.03;29.23;28.59;28.35;27.91;27.07;26.61;26.26;24.30;20.35;20.03;19.19;19.12;19.06;19.29;19.85
Shanghai;28.10;26.14;24.87;23.82;22.78;21.71;20.84;20.17;19.23;18.34;17.66;17.19;16.95;16.22;15.58;13.80;13.20;13.08;13.30;13.29
Jiangsu;85.34;82.33;78.63;73.93;69.25;65.41;61.89;58.96;55.11;51.97;48.18;45.90;43.70;36.08;35.57;33.45;31.61;30.66;30.22;30.14
Zhejiang;69.48;65.98;62.80;58.94;55.57;52.36;49.10;45.58;42.71;40.01;37.42;35.29;32.70;28.83;27.38;25.51;23.62;22.15;20.79;19.91
Anhui;51.94;50.32;45.46;42.70;40.75;38.82;37.74;36.57;35.38;33.48;31.54;30.93;30.55;22.74;21.41;20.45;19.40;19.08;18.59;18.38
Fujian;36.61;35.10;33.43;31.85;30.06;28.82;28.13;27.36;26.18;23.68;21.76;19.95;18.49;12.42;11.35;12.49;11.87;11.79;11.49;12.40
Jiangxi;38.17;36.78;34.83;32.58;31.78;30.17;29.16;28.08;26.98;25.96;24.46;23.09;22.35;16.85;15.32;14.27;13.87;14.12;13.81;14.27
Shandong;105.57;102.79;100.06;96.14;91.79;87.41;85.57;83.85;81.93;73.89;68.96;64.59;60.21;43.80;40.19;39.59;38.18;37.80;36.69;36.68
Henan;96.96;94.05;88.78;86.32;82.76;79.65;77.11;74.51;71.63;65.26;62.35;59.11;57.28;39.61;38.48;37.49;36.23;35.69;34.89;33.40
Hubei;56.41;53.80;52.63;52.19;51.00;49.41;47.57;43.82;41.12;38.64;36.52;34.95;33.71;28.48;27.82;26.53;26.23;26.06;25.56;25.69
Hunan;61.98;61.45;61.83;55.78;53.67;51.55;49.42;46.27;44.22;40.35;38.80;37.03;35.12;28.14;26.87;24.80;25.44;24.96;25.47;24.56
Guangdong;105.87;100.62;96.19;91.84;86.41;81.91;76.85;73.26;70.80;66.25;62.66;59.28;55.58;47.98;45.21;40.90;36.45;34.82;33.62;32.34
Guangxi;49.32;47.22;44.04;42.04;40.48;39.06;37.48;35.76;33.48;30.38;28.35;26.61;24.56;19.02;17.84;16.27;15.84;15.44;14.67;14.93
Hainan;9.96;9.41;8.59;8.14;7.74;7.46;7.13;6.66;6.35;5.93;5.69;5.20;4.99;4.27;4.09;3.82;3.72;3.68;3.62;3.62
Chongqing;30.85;30.16;28.80;27.28;25.59;24.28;22.71;21.05;19.77;18.41;17.08;16.01;14.60;10.90;10.36;9.67;9.48;9.35;9.30;9.61
Sichuan;86.54;82.45;79.34;74.63;70.99;67.04;64.65;62.69;59.60;54.90;50.57;46.71;43.78;32.45;31.14;28.58;28.05;28.18;28.83;29.26
Guizhou;38.41;36.69;34.71;32.34;30.19;27.74;25.91;23.75;22.16;19.11;16.91;15.42;14.39;10.60;10.11;9.57;9.49;9.02;9.11;9.12
Yunnan;47.00;45.89;42.93;38.98;36.92;32.98;30.46;28.28;26.55;23.34;21.53;20.77;19.68;15.19;14.94;14.56;14.22;13.67;13.45;13.31
Tibet;4.23;4.10;3.88;3.68;3.34;2.92;2.91;2.65;2.47;2.16;2.22;1.67;1.60;1.17;1.02;1.07;1.08;1.03;1.01;1.03
Shaanxi;44.59;44.53;43.56;41.09;39.38;37.26;34.99;33.63;32.19;29.38;27.55;26.01;24.54;18.35;17.77;16.82;16.52;16.39;16.44;16.57
Gansu;24.77;22.90;22.85;20.70;19.92;18.68;18.14;17.90;16.07;15.19;14.57;13.75;12.64;10.42;10.18;9.94;9.71;9.64;9.65;9.55
Qinghai;6.68;6.43;6.20;5.94;5.61;4.97;4.84;4.64;4.47;4.08;3.88;3.52;3.44;2.56;2.39;2.35;2.29;2.30;2.30;2.35
Ningxia;7.31;7.20;6.86;6.58;6.20;5.62;5.26;5.07;4.76;4.40;4.18;3.97;3.77;3.16;3.07;2.79;2.76;2.73;2.76;2.56
Xinjiang;25.67;24.45;23.64;22.71;22.44;22.00;20.85;19.96;18.96;17.71;16.78;15.89;14.69;13.02;12.76;12.14;11.72;12.05;11.66;11.08
