"Region";"X2021";"X2020";"X2019";"X2018";"X2017";"X2016";"X2015";"X2014";"X2013";"X2012";"X2011";"X2010";"X2009";"X2008";"X2007";"X2006";"X2005";"X2004";"X2003";"X2002"
"Beijing";"12.11";"11.4";"10.42";"10.47";"10.91";"10.88";"10.12";"10.16";"9.92";"9.38";"8.76";"9.3";"9.92";"9.71";"9.63";"9.98";"10.28";"9.96";"10.56";"11.43"
"Tianjin";"13.27";"11.91";"10.28";"10.27";"11.29";"10.89";"10.13";"10.79";"11.19";"11.73";"10.65";"10.38";"10.06";"10.75";"11.35";"12.08";"12.67";"13.11";"13.96";"14.56"
"Hebei";"19.22";"19.05";"18.83";"18.48";"17.96";"18.46";"18.23";"18.62";"17.8";"17.95";"17.6";"17.05";"16.51";"16.06";"16.75";"16.62";"17.67";"17.45";"19.2";"21.17"
"Shanxi";"15.9";"15.67";"15.37";"15.59";"15.6";"15.36";"15.05";"14.84";"15.72";"15.71";"16.16";"16.7";"17.25";"18.2";"19.53";"20.09";"21.3";"21.18";"22.96";"23.44"
"Inner Mongolia";"13.73";"13.42";"13.03";"13.28";"13.55";"12.8";"13.07";"13.56";"13.73";"13.85";"13.68";"13.96";"14.23";"14.9";"15.69";"16.22";"17.06";"17.11";"18.24";"19.49"
"Liaoning";"10.77";"10.52";"10.2";"10.15";"10.15";"10.64";"10.61";"10.26";"10.42";"10.38";"11.36";"11.2";"11.04";"12.13";"12.68";"12.53";"14.24";"13.91";"14.7";"15.69"
"Jilin";"11.19";"11.45";"11.77";"12.29";"12.44";"12.65";"11.98";"12.22";"11.75";"12.24";"12.72";"12.44";"12.17";"12.23";"13.11";"13.12";"14.49";"13.89";"15.24";"16.27"
"Heilongjiang";"9.78";"9.87";"9.97";"10.56";"9.95";"10.05";"10.57";"11.59";"11.98";"12.12";"11.74";"12.04";"12.34";"12.71";"13.16";"14";"14.81";"14.54";"15.84";"17"
"Shanghai";"9.82";"9.91";"10.03";"9.84";"9.95";"9.67";"9.34";"10.11";"9.36";"8.46";"8.29";"7.96";"7.56";"7.9";"7.97";"8.1";"9";"8.8";"8.81";"10.72"
"Jiangsu";"14.68";"14.32";"13.79";"13.73";"13.45";"13.73";"13.56";"13.76";"13.33";"13.17";"12.99";"13.34";"13.69";"13.76";"14.26";"14.97";"15.54";"16.33";"17.02";"18.8"
"Zhejiang";"13.25";"13.17";"13.06";"13.69";"12.17";"12.95";"12.91";"12.03";"11.94";"12.34";"12.61";"13.22";"13.85";"14.02";"14.66";"14.99";"15.9";"15.61";"16.11";"16.43"
"Anhui";"18.65";"18.65";"18.65";"18.59";"19.1";"17.53";"17.77";"17.88";"18.46";"18.11";"18.02";"18.66";"19.26";"20.11";"20.87";"21.33";"23.09";"21.69";"21.82";"24.2"
"Fujian";"18.89";"18.06";"16.87";"16.72";"18.48";"18.29";"17.57";"17.6";"16.85";"16.72";"15.76";"16.42";"17.08";"17.74";"17.61";"17.95";"18.48";"19.27";"21.38";"21.09"
