"Region";"X2021";"X2020";"X2019";"X2018";"X2017";"X2016";"X2015";"X2014";"X2013";"X2012";"X2011";"X2010";"X2009";"X2008";"X2007";"X2006";"X2005";"X2004";"X2003";"X2002"
"Beijing";"73.6596937675221";"75.5244404295895";"78.123124924997";"78.2775985967295";"76.5855850794899";"77.3825281270682";"79.2218003127094";"81.2862533085544";"81.4999427065429";"82.0282636395228";"82.4307085701032";"81.2936738606147";"79.9880763116057";"80.0108013231621";"80.1772708533736";"78.7952987267385";"78.9048147675138";"78.9207063955534";"78.2373845060412";"77.7891131676747"
"Tianjin";"70.8066845471426";"73.9150022525905";"77.6436544026457";"78.810379865562";"77.4221317890124";"77.7403035413153";"79.5738814387768";"77.5505312774627";"77.358024691358";"77.8135866338733";"79.5802021249028";"79.2562358276644";"78.8981189725962";"76.9725133478347";"77.7991107518189";"77.3674437796575";"77.6437780675069";"76.1045804620997";"75.1104861390117";"74.7013352073085"
"Hebei";"65.8604297394942";"66.7889136926333";"68.028500346946";"68.8322806790831";"70.2380568888316";"70.6310756972112";"71.5960994927056";"72.0542864644873";"73.0340234975296";"72.9631944216031";"74.227704046168";"74.4343453877393";"74.6381119161994";"75.2004572807672";"74.3846553597581";"74.8912446014919";"74.1525666699013";"74.5633947758709";"73.2473073052021";"71.1929945984984"
"Shanxi";"70.4174917939397";"71.8349626571134";"73.6350475665242";"74.0789344181621";"75.4075286415712";"75.9462956971854";"75.7632693053973";"76.6300195967715";"76.3093767733752";"76.3309877854488";"76.0733598280018";"75.3716680856638";"74.6592929093423";"73.9205302316515";"73.1693971482829";"72.9298954525046";"70.9936590286785";"71.7668150346192";"69.9336568585294";"69.6133107379448"
"Inner Mongolia";"72.4329215516563";"74.3324033479474";"76.7726904376013";"76.8779173283288";"75.6151374166627";"77.7630582891749";"77.3746739035728";"77.1128634318611";"77.7179449861738";"78.2719614921781";"79.4321558270056";"78.3663528640345";"77.3105725847714";"76.9847818115145";"76.1442943895586";"75.9828674481515";"75.0101303009966";"75.4099771876211";"74.1259038706933";"73.3740354447554"
"Liaoning";"70.4265910663661";"71.9127713173363";"73.8816568047337";"74.8741047448523";"75.7791431510467";"76.1399585469619";"76.5274454769637";"77.5775471906391";"79.3684965913168";"79.6837879904973";"77.867385905413";"77.6609204491539";"77.4597309323688";"76.536370165179";"76.6894727471577";"76.8830771583697";"75.9913159736329";"76.6350364963504";"75.5950805073528";"76.2064987502403"
"Jilin";"72.0923761825264";"73.3871317627663";"74.9414967285926";"75.3393767194335";"75.365679628969";"76.4959686206145";"77.1018713638623";"77.6095091349329";"78.5836966574184";"80.0165584557061";"78.5781183482333";"78.7625418060201";"78.9436937861925";"78.6423841059603";"78.0827382614593";"78.6198153943668";"77.8419079196244";"78.6528772208963";"77.709488832259";"77.0389240624883"
"Heilongjiang";"73.4455254093903";"74.757530991072";"76.2484148473112";"77.2280747107865";"77.9175066397875";"78.0102905189182";"78.5874929349339";"79.0212443095599";"79.0780702031531";"79.0403251015942";"80.266813200232";"79.6234772978959";"79.0048436811977";"78.1711254612546";"77.9046969567812";"77.9264308246958";"77.5904929723701";"78.6686716253591";"77.5130660865413";"76.6439189546633"
"Shanghai";"72.7365825905557";"73.1384274640089";"73.7024221453287";"75.2125572269457";"75.7893674972259";"77.3627897761046";"77.8396388879975";"80.2088016384435";"79.9969897652017";"82.5244184875642";"83.8452333466294";"81.3452671548685";"78.3632687046509";"79.0554171116649";"77.7890830739765";"77.4886535552194";"79.0351432541183";"75.8052927793079";"74.8209949567275";"75.8431176617537"
"Jiangsu";"68.2721873785869";"69.4457175031754";"71.1342016216561";"71.9725437905328";"72.6202723146747";"72.763366070629";"73.7493862018168";"74.1734153321561";"74.416262247047";"75.3385893497571";"76.196191746314";"75.2340713696856";"74.2829562241301";"74.5069974554707";"74.5881472742184";"73.9729970924375";"73.5968524054681";"72.9497198976416";"71.636493209259";"71.3167776772743"
