Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;121.069.657.105.887;11.402.188.095.955;104.224.168.966.759;104.679.454.535.167;109.094.994.663.221;10.881.314.802.559;101.240.413.967.687;101.593.737.680.915;992.322.676.750.315;937.680.991.544.075;875.565.348.486.606;930.059.983.921.835;991.653.418.124.006;970.768.919.192.601;962.621.959.598.736;997.621.379.599.832;102.818.520.301.402;995.567.438.260.747;105.614.783.226.724;114.333.600.524.667
Tianjin;132.659.376.934.186;119.086.949.992.491;102.769.739.561.802;102.704.392.684.071;112.928.470.809.203;108.922.275.026.828;101.320.132.013.201;1.078.533.194.855;111.851.851.851.852;117.292.850.479.179;106.504.275.719.098;103.764.172.335.601;100.639.740.284.541;107.474.787.423.374;113.480.194.017.785;120.796.368.887.972;1.266.695.639.577;131.130.928.252.939;139.614.302.932.905;145.567.714.084.931
Hebei;192.203.841.034.417;190.531.412.170.585;188.281.686.326.942;184.793.319.010.774;17.962.181.490.191;184.605.577.689.243;18.229.800.388.043;18.621.176.316.135;177.999.570.368.657;179.455.974.739.335;176.039.831.234.542;170.534.390.511.184;165.062.737.978.568;16.060.399.168.003;167.540.668.650.887;166.203.376.521.398;17.674.470.919.308;174.505.886.982.052;191.951.208.520.483;211.726.825.451.755
Shanxi;159.021.240.810.569;156.688.323.516.911;153.695.022.749.207;155.933.204.291.198;156.039.279.869.067;153.574.894.856.034;150.490.525.750.187;148.404.025.641.877;157.225.356.344.093;157.063.197.026.022;161.606.619.323.734;167.037.788.984.216;17.252.617.025.479;182.007.212.709.965;195.307.219.414.851;200.885.126.034.251;212.956.207.666.811;211.795.252.225.519;229.620.984.089.932;234.416.884.917.578
Inner Mongolia;137.264.930.364.309;134.227.890.704.575;130.267.423.014.587;132.765.506.953.467;135.450.141.493.597;127.980.696.442.089;130.699.960.535.285;13.560.059.987.422;137.340.513.268.326;138.531.889.290.012;136.773.098.146.489;139.571.917.006.229;142.285.687.706.405;149.019.068.573.524;156.892.957.491.163;162.218.214.607.755;170.581.605.905.966;171.135.884.302.501;182.390.472.139.515;1.949.037.564.657
Liaoning;10.770.810.545.349;105.244.408.254.663;101.952.662.721.893;101.499.552.372.426;101.476.271.233.562;106.359.768.735.682;106.071.888.599.549;102.632.740.920.631;104.164.941.624.576;103.820.212.446.411;113.600.555.451.705;111.998.523.907.428;110.411.408.051.211;121.293.731.404.535;126.764.503.904.164;125.283.576.763.274;142.395.123.199.702;139.051.094.890.511;147.007.148.186.479;156.940.972.889.829
Jilin;111.892.837.268.463;114.538.591.695.952;117.675.151.630.928;1.228.972.173.364;124.420.264.002.854;126.519.938.984.528;119.835.896.861.457;122.165.969.623.597;11.754.084.643.502;122.445.422.458.495;127.245.636.441.039;124.414.715.719.064;121.688.775.719.742;122.314.650.298.821;131.088.682.331.352;131.204.690.409.222;144.874.162.753.955;138.917.301.208.471;152.413.431.269.675;162.739.294.946.241
Heilongjiang;977.702.580.216.327;986.897.038.987.732;997.360.934.983.035;105.570.994.635.817;994.528.175.098.397;100.520.800.652.569;105.742.317.004.243;11.586.368.234.699;119.806.641.180.373;121.225.382.932.166;117.379.491.406.417;12.043.937.625.333;123.352.414.501.688;127.075.645.756.458;131.560.253.459.495;140.040.558.810.275;148.079.589.120.473;145.350.554.496.388;158.411.376.117.582;169.973.020.155.531
Shanghai;981.983.690.498.767;990.919.158.361.019;100.346.020.761.246;983.548.825.275.444;994.653.485.322.304;967.406.380.027.739;934.200.815.069.152;101.103.951.246.316;936.183.022.275.737;846.339.744.235.223;828.679.696.848.823;795.768.917.819.365;755.917.687.641.251;790.316.838.732.645;796.624.371.558.535;809.682.299.546.142;900.017.420.788.524;879.535.384.983.834;881.016.126.019.551;107.169.622.782.913
Jiangsu;146.839.096.408.947;143.160.182.796.685;137.872.693.609.143;137.296.199.769.683;134.478.063.540.091;137.302.606.047.942;135.599.325.468.102;137.627.108.323.692;133.275.341.085.981;131.667.751.161.418;129.880.714.232.792;13.339.123.778.118;136.856.269.470.975;137.563.613.231.552;14.259.816.123.045;149.696.289.259.291;155.359.420.448.045;163.261.636.351.062;170.186.522.674.634;18.796.425.732.533
