Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;142.333.405.218.892;130.733.714.744.555;114.544.581.783.271;112.544.559.497.539;124.992.977.922.589;117.416.721.817.781;106.544.561.090.016;854.874.134.144.281;858.255.987.166.266;860.071.817.444.689;88.194.363.910.472;94.180.941.191.021;100.953.895.071.542;102.882.603.118.882;10.196.509.550.639;112.284.874.772.632;10.813.333.202.346;111.236.192.218.392;112.011.371.712.864;107.775.267.798.586
Tianjin;159.205.006.533.251;141.763.027.481.604;12.079.371.641.174;10.919.180.866.031;112.850.211.300.673;113.598.037.712.709;102.941.053.599.031;116.801.150.435.408;114.567.901.234.568;104.571.283.182.088;976.937.030.318.735;103.764.172.335.601;110.379.069.989.497;12.280.007.909.828;108.528.698.464.026;105.529.193.315.453;968.926.553.672.316;107.924.604.783.137;109.280.835.676.979;107.418.933.841.984
Hebei;149.191.861.570.641;14.159.394.659.786;131.450.234.400.122;126.867.720.936.243;117.997.616.209.774;109.083.665.338.645;101.741.866.587.281;932.453.721.937.771;916.601.946.560.471;909.285.267.901.194;816.831.283.037.778;851.382.711.274.415;88.556.142.859.438;873.914.355.122.974;88.597.029.968.032;848.841.774.636.828;817.296.241.079.069;798.601.652.592.391;755.757.184.274.963;763.432.285.632.608
Shanxi;136.803.841.250.034;124.992.409.982.391;109.954.501.585.551;103.244.644.204.586;898.854.337.152.209;869.621.481.721.126;918.785.371.498.408;852.293.486.564.586;79.714.257.101.846;79.660.116.834.838;776.597.823.962.473;792.782.762.459.886;808.809.006.517.875;787.549.952.889.957;729.988.091.023.206;698.479.892.245.526;771.094.538.117.884;705.365.974.282.888;710.424.473.247.742;694.500.077.029.734
Inner Mongolia;138.405.854.119.128;12.249.236.083.433;101.955.024.311.183;98.503.440.642.895;108.398.484.339.776;94.388.720.666.162;95.555.863.072.815;93.319.142.760.389;854.800.368.699.365;78.748.495.788.207;689.053.435.834.552;768.113.905.671.866;845.620.726.545.421;810.872.753.942.061;816.640.986.132.511;779.080.252.479.712;793.202.568.031.303;747.213.015.968.665;763.930.242.450.021;713.558.890.867.464
Liaoning;188.048.306.806.259;175.653.324.512.074;159.230.769.230.769;149.759.400.179.051;140.760.098.974.117;132.240.645.794.698;128.653.656.630.815;121.619.384.037.973;102.150.092.462.256;993.692.143.851.888;107.725.585.494.165;111.418.630.396.963;114.991.282.625.101;113.342.566.943.675;106.340.768.624.259;105.911.141.699.166;976.917.170.639.686;945.985.401.459.854;970.420.467.399.937;809.940.396.077.677
Jilin;16.714.365.211.861;151.590.090.676.385;132.909.881.083.146;123.709.015.469.264;12.196.753.478.416;108.520.374.809.327;10.914.305.583.754;101.694.915.254.237;965.781.477.077.553;773.889.929.844.438;870.157.513.835.675;879.598.662.207.358;888.742.864.183.334;912.615.086.415.765;880.839.350.540.551;825.575.407.043.537;767.067.580.498.008;745.539.265.825.662;70.491.680.407.735;668.714.644.288.765
Heilongjiang;167.774.487.884.464;153.734.986.190.507;137.779.758.028.584;122.148.258.256.317;121.372.116.092.285;119.376.294.158.248;108.382.753.646.418;939.238.745.574.102;894.126.567.880.952;883.713.660.518.912;799.218.487.651.494;833.557.810.301.996;866.285.043.299.574;911.842.712.177.122;894.211.917.142.614;806.669.671.022.983;760.154.811.558.261;679.627.292.500.201;664.579.630.170.058;635.877.902.978.363
Shanghai;174.473.734.117.201;169.568.106.312.292;162.629.757.785.467;149.519.545.202.998;142.590.537.677.797;12.963.146.423.618;128.186.203.724.502;968.080.323.692.492;106.411.800.120.409;901.218.407.008.358;787.295.572.397.288;107.078.925.956.062;140.835.018.437.017;130.414.145.010.087;142.506.583.672.492;144.145.234.493.192;119.646.825.379.964;153.993.533.708.538;163.750.700.454.517;13.439.920.059.955
Jiangsu;170.439.029.805.184;162.382.642.171.562;150.785.290.174.296;142.963.209.891.509;139.334.341.906.203;135.048.807.427.087;12.690.681.251.373;120.638.738.354.746;122.546.775.325.825;114.961.487.825.916;108.172.186.411.795;114.282.769.991.756;120.299.542.203.566;11.736.641.221.374;111.520.366.027.366;110.588.133.690.301;108.671.044.838.871;107.241.164.672.522;113.448.545.232.776;988.816.709.152.208
Zhejiang;141.685.793.887.951;141.158.212.286.606;140.334.654.337.296;129.863.502.997.831;124.793.335.194.211;116.354.551.472.315;112.651.827.866.193;962.249.208.025.343;919.869.534.555.712;874.835.886.214.442;856.793.932.382.054;98.040.066.850.433;110.727.480.647.431;106.514.161.220.044;10.631.707.529.884;100.366.847.527.623;10.577.937.501.928;978.284.663.543.628;114.947.533.417.512;111.516.528.654.766
Anhui;154.408.130.483.134;148.023.725.788.673;139.683.628.586.417;132.015.749.247.279;129.950.830.461.884;114.664.976.179.499;111.832.985.473.586;104.201.111.531.643;105.314.980.407.917;10.317.635.049.937;104.767.694.993.038;103.078.729.124.853;101.486.145.173.689;107.445.313.344.625;105.036.713.069.141;102.092.123.769.339;100.919.028.015.233;851.777.866.560.128;81.896.826.916.938;823.630.600.640.301
Fujian;115.372.474.747.475;109.063.837.707.054;999.708.445.365.901;948.652.078.368.257;952.484.404.580.863;994.949.805.998.645;900.567.571.919.279;758.699.735.744.532;816.424.810.581.739;859.207.623.189.333;767.076.739.137.275;885.723.231.058.234;100.320.902.265.009;999.569.018.593.769;10.078.158.392.868;935.321.868.817.532;875.231.341.975.799;850.857.612.781.955;795.073.115.203.876;760.101.972.045.594
