Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;23185;19926;16666;17673;17801;18132;335775;17757;17454;17266;17246;16171;15096;14813;14554;14294;203582;14213;14070;13723
Tianjin;14541;13318;12095;12794;12778;13046;239370;12517;12150;11791;11577;11025;10473;10114;9896;9694;138060;9868;9956;9961
Hebei;78885;68986;59087;61907;62086;62750;1155542;60936;60517;60806;61861;62052;62243;62981;63501;63675;906856;66078;66569;66463
Shanxi;36863;32938;29012;30481;30550;30910;569491;30107;29957;30128;30698;30538;30378;30779;31069;31182;444096;32352;32558;32455
Inner Mongolia;25418;22581;19744;20781;20849;21136;390222;20671;20613;20775;21203;21351;21499;21816;22066;22180;315884;23233;23510;23586
Liaoning;44797;39299;33800;35744;35969;36668;680859;36236;36231;36621;37447;37938;38429;38988;39317;39231;558727;41100;41549;41608
Jilin;25158;23049;20939;22173;22424;22945;428511;22715;22707;22949;23490;23920;24349;24764;25067;25243;359512;26397;26684;26693
Heilongjiang;33098;31138;29177;30946;31251;31874;592705;31632;31651;31990;32757;33411;34065;34688;35193;35504;505647;37241;37693;37806
Shanghai;26365;22575;18785;19877;19826;20188;373956;20019;19932;19862;20056;18435;16814;16854;16708;16525;235351;16702;16061;16012
Jiangsu;90085;76369;62652;65996;66100;66998;1238192;65692;65526;66083;67485;67928;68371;69168;69503;69474;989454;72295;72967;72966
Zhejiang;69273;57347;45420;47034;46573;46831;859773;45456;45376;45700;46674;46073;45472;45900;45844;45523;648340;45682;45934;45769
Anhui;64744;57153;49562;51812;51658;52056;955845;50201;49765;49963;50989;52814;54638;55498;56247;56880;810095;62575;62652;62783
Fujian;44352;37611;30869;32309;32221;32474;596224;31409;31148;31273;31783;31940;32097;32484;32754;32855;467922;34048;34261;34127
Jiangxi;47847;42083;36318;38080;38163;38576;710552;37486;37321;37580;38348;38767;39186;39623;39945;40069;570672;41524;41741;41521
Shandong;107712;93015;78318;82408;82502;83464;1530763;80788;80331;80810;82336;83102;83867;84970;85696;85953;1224142;89072;89775;89699
Henan;104679;89883;75087;78679;79005;80140;1476154;77873;77688;78483;80208;82091;83974;84906;86460;87180;1241616;94372;95029;94793
Hubei;61748;53925;46101;48498;48684;49384;909271;47997;47860;48219;49190;50026;50862;51697;52408;53070;755824;58510;59184;59270
Hunan;70141;61996;53851;56516;56647;57310;1056139;55600;55219;55394;56351;56586;56820;57648;58382;58795;837363;65041;65521;65434
Guangdong;134340;111885;89429;93024;91922;92107;1681666;88503;87847;88395;89750;87366;84981;85714;85649;85451;1217005;77645;77676;77216
Guangxi;53347;46000;38653;40353;40385;40677;747093;39232;38947;39066;39686;41289;42891;43252;43442;43311;616837;47408;47661;47504
Hainan;10800;9075;7350;7658;7640;7698;141596;7456;7389;7397;7496;7551;7606;7665;7696;7696;109601;7916;7939;7892
Chongqing;34019;29147;24274;25416;25337;25560;468563;24687;24512;24573;24939;25112;25284;25545;25850;26005;370367;30553;30713;30724
Sichuan;88670;76950;65230;68344;68609;69457;1277289;67179;66904;67386;68777;70624;72471;73722;75201;76324;1087009;84919;85739;85704
Guizhou;40798;34522;28245;29487;29612;29915;550172;28950;28905;29071;29636;31708;33780;34126;34587;34666;493715;37780;37933;37686
Yunnan;49677;43776;37874;39584;39709;40141;738612;38902;38680;38874;39564;40012;40460;40947;41269;41359;589039;42720;42836;42529
Tibet;3873;3308;2743;2817;2797;2789;50634;2620;2575;2567;2591;2574;2556;2576;2587;2574;36666;2636;2638;2609
Shaanxi;41876;36017;30158;31684;31649;32014;589346;31155;31063;31315;31976;32740;33504;33999;34383;34574;492410;36022;36314;36297
Gansu;26368;23505;20642;21614;21720;21960;404863;21381;21311;21507;21908;22657;23405;23739;23990;24109;343364;25409;25628;25546
Qinghai;6289;5511;4733;4945;4939;4987;91611;4814;4769;4782;4854;4894;4934;5007;5045;5049;71903;5213;5225;5189
Ningxia;7678;6541;5404;5638;5627;5666;103820;5460;5399;5400;5463;5484;5504;5533;5560;5539;78892;5662;5650;5585
Xinjiang;27427;23544;19660;20375;20210;20165;367631;18969;18688;18630;18871;18925;18979;19004;18872;18681;265815;18880;18834;19799
