Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;17078;15049;13020;13834;13633;14031;266007;14434;14225;14163;14216;13146;12075;11852;11669;11263;160636;11217;11008;10675
Tianjin;10296;9844;9391;10083;9893;10142;190476;9707;9399;9175;9213;8738;8263;7785;7699;7500;107195;7510;7478;7441
Hebei;51954;46075;40196;42612;43608;44321;827323;43907;44198;44366;45918;46188;46457;47362;47235;47687;672457;49270;48760;47317
Shanxi;25958;23661;21363;22580;23037;23475;431465;23071;22860;22997;23353;23017;22680;22752;22733;22741;315280;23218;22769;22593
Inner Mongolia;18411;16785;15158;15976;15765;16436;301933;15940;16020;16261;16842;16732;16621;16795;16802;16853;236945;17520;17427;17306
Liaoning;31549;28261;24972;26763;27257;27919;521044;28111;28756;29181;29159;29463;29767;29840;30152;30162;424584;31497;31409;31708
Jilin;18137;16915;15692;16705;16900;17552;330390;17629;17844;18363;18458;18840;19222;19475;19573;19846;279851;20762;20736;20564
Heilongjiang;24309;23278;22247;23899;24350;24865;465792;24996;25029;25285;26293;26603;26913;27116;27417;27667;392334;29297;29217;28976
Shanghai;19177;16511;13845;14950;15026;15618;291086;16057;15945;16391;16816;14996;13176;13324;12997;12805;186010;12661;12017;12144
Jiangsu;61503;53035;44567;47499;48002;48750;913159;48726;48762;49786;51421;51105;50788;51535;51841;51392;728207;52739;52271;52037
Zhejiang;50281;41699;33116;34485;35092;35319;651886;35615;35785;36063;36790;35465;34139;34576;34249;34128;476673;34082;33254;33144
Anhui;42673;38035;33397;35341;35079;36958;679081;35994;35337;35760;36459;37515;38571;38372;38600;38938;541274;43670;43853;42421
Fujian;30854;26715;22575;23842;23196;23303;437763;23501;23355;23357;24335;23866;23396;23473;23686;23886;340481;24591;24211;24336
Jiangxi;31915;28604;25293;26648;26196;26687;493623;26245;26608;26455;27191;27295;27399;27306;27323;26841;379303;29229;29140;28274
Shandong;70725;61400;52075;55071;57242;59599;1101954;58769;59077;59273;60696;61630;62563;63440;64140;64611;907427;65608;65164;65176
Henan;66799;58681;50562;53220;53962;55405;1020949;54755;54620;55431;56519;58472;60425;61415;62300;61929;876943;66664;65920;65135
Hubei;42409;37652;32895;34995;35028;36023;669102;35407;35966;36239;37180;37755;38330;38869;38998;38862;543773;42442;42002;40369
Hunan;46061;41035;36009;38446;39325;40065;743164;39379;39294;38913;40358;40522;40685;41978;42556;42001;595873;47274;46950;46499
Guangdong;96922;82201;67479;69608;69329;69603;1288354;66604;66830;67753;68401;66146;63891;63402;62959;62093;866533;51973;50799;51771
Guangxi;34405;30345;26285;27486;27461;28048;505127;26902;26966;26598;27183;28480;29776;29753;29934;29789;411440;33475;33038;32914
Hainan;7517;6375;5232;5561;5500;5543;101585;5465;5402;5446;5487;5436;5385;5329;5371;5321;74277;5429;5405;5262
Chongqing;22783;19629;16475;17435;17566;18041;333180;17434;17440;17366;17841;17775;17708;17633;17937;17969;253202;20678;22113;21885
Sichuan;59217;51737;44257;46915;48192;48858;909185;46888;47295;48488;49359;50260;51161;52488;52547;52518;730821;60815;61129;60305
Guizhou;26402;22546;18690;19585;20362;20373;374559;19883;19838;19731;19776;21193;22610;22460;22302;22413;313312;25293;25233;24910
Yunnan;34517;30908;27299;28637;28855;28939;535328;28135;27835;28257;28780;28531;28282;28659;28898;28860;402662;29818;29274;29144
Tibet;2690;2277;1863;1994;1965;1980;35812;1833;1843;1860;1868;1870;1872;1839;1853;1779;24397;1813;1767;1782
Shaanxi;28836;25487;22137;23592;23190;23826;439664;23204;23324;24007;24457;24671;24884;25147;25101;25097;353629;26131;25911;25277
Gansu;17877;16306;14734;15366;15666;16049;297726;15970;15813;15960;16260;16647;17033;16902;17146;17076;238196;18118;18029;17766
Qinghai;4368;3887;3406;3603;3559;3643;66728;3592;3479;3461;3568;3561;3554;3576;3584;3556;50254;3691;3630;3567
Ningxia;5369;4570;3770;4000;4117;4140;75315;4012;3924;3888;4021;3987;3953;3909;3908;3874;53701;3879;3841;3827
Xinjiang;19271;16300;13328;14307;14114;14165;261207;13657;13605;13546;13860;13775;13690;13660;13540;13233;186012;13531;13155;13680
