Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;8.21;8.67;9.86;10.47;12.40;13.66;13.76;15.10;16.63;17.75;18.83;;;;;;;;;
Tianjin;10.72;11.70;11.42;11.86;12.04;13.08;24.68;28.23;31.17;33.42;35.89;;;;;;;;;
Hebei;82.24;76.97;101.65;115.50;122.79;126.83;135.08;151.25;165.25;176.11;180.11;;;;;;;;;
Shanxi;41.94;56.34;57.63;61.31;65.25;75.19;93.08;106.99;115.78;124.40;128.60;;;;;;;;;
Inner Mongolia;43.35;47.56;58.97;55.58;57.65;66.26;113.90;125.83;137.76;141.89;142.19;;;;;;;;;
Liaoning;80.63;57.96;70.30;70.31;74.28;75.92;82.81;90.20;95.54;103.63;106.28;;;;;;;;;
Jilin;20.29;20.11;24.52;24.19;26.23;28.98;50.17;54.92;56.05;57.59;60.47;;;;;;;;;
Heilongjiang;27.85;29.76;36.84;37.91;40.23;50.05;64.48;73.06;75.16;78.06;78.38;;;;;;;;;
Shanghai;13.57;15.98;15.16;15.79;16.96;16.96;30.06;33.28;38.04;40.16;43.54;;;;;;;;;
Jiangsu;44.34;48.50;87.56;92.40;93.18;105.17;106.76;123.26;133.80;147.96;153.57;;;;;;;;;
Zhejiang;38.05;38.73;38.04;39.28;42.04;44.42;60.77;68.79;75.30;80.88;85.91;;;;;;;;;
Anhui;44.58;46.43;57.34;58.77;58.37;70.08;72.10;80.73;86.37;92.13;95.91;;;;;;;;;
Fujian;24.51;25.82;30.58;30.19;29.02;31.05;37.90;41.17;43.83;46.72;49.45;;;;;;;;;
Jiangxi;32.42;28.33;40.68;42.13;41.58;45.43;49.27;54.01;57.04;57.71;61.23;;;;;;;;;
Shandong;65.87;62.47;109.33;114.51;119.52;141.78;142.39;159.33;165.13;173.90;179.03;;;;;;;;;
Henan;49.81;54.55;60.77;65.60;69.39;82.09;126.24;142.20;156.56;162.59;166.54;;;;;;;;;
Hubei;28.69;49.80;35.63;36.48;39.06;40.04;51.45;58.02;61.24;64.00;66.96;;;;;;;;;
Hunan;26.18;27.33;37.07;40.59;43.37;50.91;49.69;55.28;58.82;60.72;66.64;;;;;;;;;
Guangdong;62.96;60.78;69.97;71.61;76.50;79.77;99.69;112.21;120.42;130.34;138.82;;;;;;;;;
Guangxi;26.48;29.34;36.52;37.47;37.22;37.36;37.34;44.24;50.43;49.83;49.40;;;;;;;;;
Hainan;3.83;4.07;4.87;4.91;5.53;5.60;8.95;9.50;10.02;10.34;9.54;;;;;;;;;
Chongqing;15.76;16.70;17.52;19.57;19.66;20.72;32.07;35.50;36.20;38.27;40.26;;;;;;;;;
Sichuan;34.97;40.45;48.40;49.00;51.36;57.06;52.59;58.54;62.43;65.90;67.49;;;;;;;;;
Guizhou;22.37;27.49;23.15;26.10;28.61;34.99;41.91;49.11;55.73;56.35;55.32;;;;;;;;;
Yunnan;32.01;34.44;32.88;33.53;34.82;41.22;44.94;49.89;52.37;54.43;54.85;;;;;;;;;
Tibet;4.43;5.39;4.09;3.99;3.41;3.98;5.27;4.83;4.43;4.43;4.06;;;;;;;;;
Shaanxi;21.02;26.62;32.89;33.94;35.49;39.44;62.74;70.58;75.89;80.81;83.17;;;;;;;;;
Gansu;18.46;19.64;21.97;22.49;22.60;25.05;38.73;41.84;44.29;47.34;48.09;;;;;;;;;
Qinghai;6.57;7.10;7.62;8.18;8.77;9.13;11.79;13.45;13.23;12.61;12.41;;;;;;;;;
Ningxia;12.29;12.06;15.49;16.91;18.05;21.17;36.76;40.40;43.74;45.54;45.82;;;;;;;;;
Xinjiang;28.25;28.59;35.14;37.87;43.02;49.93;73.65;86.28;88.69;81.95;75.51;;;;;;;;;
