AnnualbyProvince (10)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºPer Capita Disposable Income of Rural Households(yuan);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;33303;30126;28928;26490;24240;22310;20569;18867;17101;15365;13742;12368;10942;10052;8948;7888;7041;5948;5429;5259
Tianjin;27955;25691;24804;23065;21754;20076;18482;17014;15353;13593;11941;9764;8441;7705;6845;6096;5475;4938;4502;4229
Hebei;18179;16467;15373;14031;12881;11919;11051;10186;9188;8158;7187;6014;5194;4833;4324;3826;3501;3187;2865;2695
Shanxi;15308;13878;12902;11750;10788;10082;9454;8809;7949;7064;6225;5263;4677;4480;3975;3420;3082;2738;2410;2236
Inner Mongolia;18337;16567;15283;13803;12584;11609;10776;9976;8985;7956;6942;5780;5143;4834;4089;3444;3070;2667;2312;2120
Liaoning;19217;17450;16108;14656;13747;12881;12057;11191;10161;9061;8011;6671;5770;5415;4648;3995;3614;3247;2889;2716
Jilin;17642;16067;14936;13748;12950;12123;11326;10780;9781;8741;7634;6341;5346;5001;4244;3682;3296;3025;2549;2315
Heilongjiang;17889;16168;14982;13804;12665;11832;11095;10453;9369;8367;7382;6040;5075;4743;4046;3486;3168;2962;2479;2381
Shanghai;38521;34911;33195;30375;27825;25520;23205;21192;19208;17452;15737;13702;12256;11250;9992;9015;8149;6993;6595;6178
Jiangsu;26791;24198;22675;20845;19158;17606;16257;14958;13521;12133;10744;9067;7962;7322;6533;5791;5258;4740;4229;3972
Zhejiang;35247;31930;29876;27302;24956;22866;21125;19373;17494;15806;14197;12277;10798;9927;8805;7763;7003;6210;5594;5096
Anhui;18372;16620;15416;13996;12758;11720;10821;9916;8850;7826;6811;5776;4887;4529;3804;3152;2784;2617;2211;2187
Fujian;23229;20880;19568;17821;16335;14999;13793;12650;11405;10164;8952;7573;6801;6299;5549;4900;4503;4132;3767;3565
Jiangxi;18684;16981;15796;14460;13242;12138;11139;10117;9089;8103;7133;5991;5238;4835;4152;3541;3194;2837;2495;2335
Shandong;20794;18753;17775;16297;15118;13954;12930;11882;10687;9506;8395;7034;6154;5671;5009;4387;3946;3519;3159;2955
Henan;17533;16108;15164;13831;12719;11697;10853;9966;8969;7963;6989;5846;5064;4672;4021;3389;2970;2630;2292;2262
Hubei;18259;16306;16391;14978;13812;12725;11844;10849;9692;8582;7540;6375;5464;5018;4276;3631;3268;3027;2669;2525
Hunan;18295;16585;15395;14093;12936;11930;10993;10060;9029;8024;7082;6063;5262;4808;4134;3567;3262;2952;2619;2465
Guangdong;22306;20143;18818;17168;15780;14512;13360;12246;11068;9999;8889;7484;6580;6122;5403;4901;4544;4247;3960;3836
Guangxi;16363;14815;13676;12435;11325;10359;9467;8683;7793;6894;6003;5214;4517;4143;3579;3038;2708;2476;2225;2116
Hainan;18076;16279;15113;13989;12902;11843;10858;9913;8802;7816;6801;5566;4984;4593;3949;3376;3102;2898;2651;2472
Chongqing;18100;16361;15133;13781;12638;11549;10505;9490;8493;7526;6605;5378;4557;4193;3560;2911;2842;2536;2233;2112
Sichuan;17575;15929;14670;13331;12227;11203;10247;9348;8381;7432;6505;5400;4714;4334;3711;3126;2905;2599;2290;2155
Guizhou;12856;11642;10756;9716;8869;8090;7387;6671;5898;5159;4499;3768;3240;2996;2526;2097;1971;1796;1622;1535
Yunnan;14197;12842;11902;10768;9862;9020;8242;7456;6724;5930;5170;4327;3661;3348;2821;2392;2155;1954;1766;1663
Tibet;16932;14598;12951;11450;10330;9094;8244;7359;6553;5698;4886;4123;3519;3166;2780;2429;2073;1858;1688;1460
Shaanxi;14745;13316;12326;11213;10265;9396;8689;7932;7092;6285;5484;4477;3722;3373;2824;2396;2162;1953;1741;1648
Gansu;11433;10344;9629;8804;8076;7457;6936;6277;5589;4931;4278;3747;3237;2938;2493;2269;2091;1942;1742;1645
Qinghai;13604;12342;11499;10393;9462;8664;7933;7283;6462;5594;4806;4028;3477;3171;2771;2427;2206;2001;1828;1695
Ningxia;15337;13889;12858;11708;10738;9852;9119;8410;7599;6776;5931;5125;4405;3978;3411;2938;2651;2435;2129;1984
Xinjiang;15575;14056;13122;11975;11045;10183;9425;8724;7847;6876;5853;4993;4150;3723;3364;2876;2593;2332;2176;1914
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;
