AnnualbyProvince (9)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºPer Capita Disposable Income of Urban Households(yuan);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;81518;75602;73849;67990;62406;57275;52859;48532;44564;40306;36365;32132;29329;26918;23752;21415;18775;16502;14535;12949
Tianjin;51486;47659;46119;42976;40278;37110;34101;31506;28980;26586;24158;21800;19371;17726;15062;13266;11839;10831;9823;8968
Hebei;39791;37286;35738;32977;30548;28249;26152;24141;22227;20222;18006;16009;14505;13263;11550;10194;9020;7886;7188;6641
Shanxi;37433;34793;33262;31035;29132;27352;25828;24069;22258;20232;17965;15510;13883;13021;11487;9967;8866;7866;6977;6214
Inner Mongolia;44377;41353;40782;38305;35670;32975;30594;28350;26004;23611;20813;18050;16140;14676;12566;10499;9247;8208;7076;6096
Liaoning;43051;40376;39777;37342;34993;32876;31126;29082;26697;24238;21362;18487;16396;14924;12710;10677;9346;8190;7381;6629
Jilin;35646;33396;32299;30172;28319;26530;24901;23218;21331;19352;17043;14759;13457;12367;10916;9488;8464;7662;6869;6159
Heilongjiang;33646;31115;30945;29191;27446;25736;24203;22609;20848;18894;16699;14741;13305;12205;10744;9583;8592;7722;6870;6246
Shanghai;82429;76437;73615;68034;62596;57692;52962;48841;44878;41130;37079;32584;29461;27204;24048;21001;18912;16891;15026;13367
Jiangsu;57744;53102;51056;47200;43622;40152;37173;34346;31585;28808;25570;22273;19996;18215;16009;13799;12098;10319;9140;8088
Zhejiang;68487;62699;60182;55574;51261;47237;43714;40393;37080;33846;30340;26802;24148;22334;20250;18007;16089;14387;13055;11624
Anhui;43009;39442;37540;34393;31640;29156;26936;24839;22789;20729;18345;15566;13903;12836;11350;9677;8399;7456;6735;6001
Fujian;51141;47160;45620;42121;39001;36014;33275;30722;28174;25650;22772;19914;18023;16649;14478;12932;11667;10655;9601;8883
Jiangxi;41684;38556;36546;33819;31198;28673;26500;24309;22120;20085;17692;15656;14168;12990;11551;9625;8679;7605;6937;6363
Shandong;47066;43726;42329;39549;36789;34012;31545;29222;26882;24496;21678;18971;17006;15628;13726;11780;10422;9191;8212;7473
Henan;37095;34750;34201;31874;29558;27233;25576;23672;21741;19843;17661;15463;13982;12901;11217;9611;8512;7584;6833;6176
Hubei;40278;36706;37601;34455;31889;29386;27051;24852;22668;20623;18183;15891;14229;13037;11394;9733;8730;7978;7287;6762
Hunan;44866;41698;39842;36698;33948;31284;28838;26570;24352;22173;19599;17229;15641;14288;12669;10791;9754;8799;7811;7061
Guangdong;54854;50257;48118;44341;40975;37684;34757;32148;29537;26981;24010;21332;19432;17930;16228;14815;13783;12829;11759;10673
Guangxi;38530;35859;34745;32436;30502;28324;26416;24669;22689;20681;18356;16613;15074;13829;11953;9720;9138;8568;7692;7242
Hainan;40213;37097;36017;33349;30817;28453;26356;24487;22411;20446;17954;15229;13465;12367;10807;9250;8013;7643;7185;6764
Chongqing;43503;40006;37939;34889;32193;29610;27239;25147;23058;21003;18517;16032;14502;13321;11758;10878;9700;8793;7773;7000
Sichuan;41444;38253;36154;33216;30727;28335;26205;24234;22228;20180;17787;15364;13759;12567;11045;9310;8354;7684;7022;6595
Guizhou;39211;36096;34404;31592;29080;26743;24580;22548;20565;18608;16413;14073;12804;11710;10638;9086;8127;7303;6555;5933
Yunnan;40905;37500;36238;33488;30996;28611;26373;24299;22460;20371;17956;15528;13980;12876;11202;9840;9078;8713;7528;7149
Tibet;46503;41156;37410;33797;30671;27802;25457;22016;20394;18362;16496;15258;13775;12677;11289;9053;9538;9196;8841;8137
Shaanxi;40713;37868;36098;33319;30810;28440;26420;24366;22346;20269;17836;15343;13836;12613;10578;9125;8159;7403;6737;6277
Gansu;36187;33822;32323;29957;27763;25693;23767;21804;19873;17979;15707;13820;12457;11413;10380;9215;8323;7566;6803;6264
Qinghai;37745;35506;33830;31515;29169;26757;24542;22307;20352;18336;16287;14462;13205;12071;10620;9270;8271;7489;6879;6272
Ningxia;38291;35720;34328;31895;29472;27153;25186;23285;21476;19507;17291;15093;13813;12751;10723;9074;8013;7155;6482;6030
Xinjiang;37642;34838;34664;32764;30775;28463;26275;23214;21091;19019;16464;14480;12948;12021;10794;9239;8283;7743;7370;7058
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;
