AnnualbyProvince (17)
Database???Annual by Province;;;;;;;;;;;;;;;;;;;;
Indicators£ºNumber of Health Care Institutions(unit);;;;;;;;;;;;;;;;;;;;
Year£ºLATEST20;;;;;;;;;;;;;;;;;;;;
Region;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Beijing;10699;10599;10336;10058;9976;9773;9771;9638;9683;9632;9495;9411;9734;6497;6210;4877;4818;4835;5073;4998
Tianjin;6076;5838;5962;5686;5539;5443;5223;4990;4689;4551;4428;4542;4238;2784;2334;2367;2472;2560;7132;2641
Hebei;88162;86939;84651;85088;80912;78795;78594;78895;78485;79119;80185;81403;80963;15632;19425;17733;18046;17760;9018;18701
Shanxi;41007;41140;42162;42079;42490;42204;41002;40777;40281;40192;40339;41098;39917;9431;9780;9776;9430;9510;12960;9603
Inner Mongolia;24948;24549;24564;24610;24218;24002;23886;23426;23257;23046;22908;22565;22677;7162;9076;7958;7629;7416;4036;6574
Liaoning;33051;34131;34238;36029;35767;36131;35236;35441;35612;35792;35229;34805;34729;14627;14819;15876;14925;14230;12533;13162
Jilin;25344;25616;22198;22691;20828;20829;20612;19891;19913;19734;19785;19385;18543;9659;9683;9696;8755;8219;7695;7556
Heilongjiang;20578;20461;20375;20349;20283;20375;20752;21229;21369;21158;21749;22073;21825;7928;8464;8181;8326;8230;8469;8755
Shanghai;6308;5897;5597;5293;5144;5016;5016;4984;4929;4845;4740;4708;4460;2822;2678;2519;2526;2551;7500;2308
Jiangsu;36448;35747;34796;33254;32037;32117;31925;31995;30998;31050;31680;30956;30571;13357;19116;17143;15324;13400;8870;12367
Zhejiang;35120;34400;34119;32754;31979;31546;31137;30358;30063;30271;30515;29939;29549;15290;15669;14230;12555;11937;6261;10708
Anhui;29554;29391;26435;24925;24491;24385;24853;24824;24645;23275;22884;22997;24799;7837;8502;9288;9197;8973;15688;8827
Fujian;28693;28105;27788;27590;27217;27656;27921;28030;28175;27276;27147;27017;26613;4478;4556;9652;7934;8672;8525;16941
Jiangxi;36764;36716;37029;36545;37791;38272;38557;38873;38902;39509;39154;34068;34005;8229;9456;10210;10669;12080;3348;11286
Shandong;85715;84872;83616;81470;79050;76997;77259;77012;75426;68840;68275;66967;63885;14973;15270;17016;16323;16526;4855;16571
Henan;78536;74644;70734;71351;71089;71271;71394;71154;71464;69258;76128;75741;75722;11683;11888;14629;14554;13821;13621;13291
Hubei;36529;35447;35515;36486;36357;36354;36179;36077;35631;35240;35625;34269;32790;10305;11093;10052;9459;9909;9498;10192
Hunan;55677;56042;57230;56239;58624;61055;62646;61571;62210;58612;59634;59359;55200;14455;14521;15331;15008;14885;14539;15149
Guangdong;57964;55900;53900;51451;49874;49079;48320;48085;47835;46534;45930;44880;44314;15819;16488;16953;16318;15744;13213;15501
Guangxi;34112;33875;33679;33742;34008;34253;34439;34667;33943;34152;34026;32741;32355;10427;10060;9977;9416;9034;6610;10107
Hainan;6277;6127;5417;5325;5180;5144;5046;5075;5011;5154;4816;4678;4661;2220;2330;2337;2464;2515;19470;2840
Chongqing;21361;20922;21057;20524;19682;19933;19806;18767;18926;17961;17650;17495;16497;6265;6293;6613;6380;6539;3730;5948
Sichuan;80249;82793;83756;81537;80481;79513;80109;81070;80037;76557;75815;74283;72914;20738;21380;24015;23832;24605;16756;28204
Guizhou;29292;28880;28511;28066;28034;28017;28712;28995;29177;27404;25943;25420;24707;5848;5956;6147;6571;6664;13178;7022
Yunnan;26885;26626;25587;24954;24684;24234;24181;24281;24264;23395;23248;22888;22365;9249;9693;10020;10110;9436;3006;8798
Tibet;6907;6939;6940;6844;6826;6835;6814;6795;6725;6660;6602;4960;4959;1326;1322;1349;1378;1326;5166;1348
Shaanxi;34971;34983;35404;35300;35861;36598;37030;37247;37137;36271;36396;35696;33928;8812;9708;11631;11701;11703;14369;12462
Gansu;25759;26204;26697;27897;28857;28197;27799;27916;26697;26401;26632;26673;25299;10534;12024;12022;11849;11404;8037;11062
Qinghai;6408;6407;6513;6396;6375;6291;6223;6241;6020;5948;5887;5781;5959;1582;1619;1643;1478;1439;9559;1450
Ningxia;4571;4574;4397;4450;4271;4254;4288;4255;4231;4140;4132;4129;4149;1629;1530;1553;1463;1483;8990;1370
Xinjiang;16970;18158;18376;18450;18724;18825;18798;18873;18663;18320;17412;16000;14244;6739;7465;8175;8087;9086;9618;10296
Note:1.Number of village clinics was included in health care institutions.;;;;;;;;;;;;;;;;;;;;
¡¡¡¡¡¡2.Since 2002, health care institutions no longer includes headquarters of higher and secondary medical schools, drug test institutions, frontier health and quarantine institutions and fami;;;;;;;;;;;;;;;;;;;;
Data Sources£ºNational Bureau of Statistics;;;;;;;;;;;;;;;;;;;;
